date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8000072,8003136,3,19,44
2023-02-01,8000217,8000217,75,100,138
2023-02-01,8000217,8000688,6,7,86
2023-02-01,8000217,8001203,0,1,0
2023-02-01,8000217,8001835,19,26,110
2023-02-01,8000217,8002078,0,1,0
2023-02-01,8000217,8002457,10,17,125
2023-02-01,8000217,8003514,14,19,85
2023-02-01,8000217,8004084,32,47,172
2023-02-01,8000217,8006537,11,19,93
2023-02-01,8000451,8000451,16,29,73
2023-02-01,8000451,8001678,12,16,101
2023-02-01,8000451,8006084,5,13,48
2023-02-01,8000590,8000590,12,36,43
2023-02-01,8000590,8000988,6,19,66
2023-02-01,8000590,8004786,9,17,32
2023-02-01,8000688,8000217,6,9,167
2023-02-01,8000688,8000688,27,46,90
2023-02-01,8000688,8001679,14,24,70
2023-02-01,8000688,8001835,4,13,37
2023-02-01,8000688,8004554,6,18,60
2023-02-01,8000710,8000710,20,35,33
2023-02-01,8000710,8001792,9,17,32
2023-02-01,8000710,8002146,7,18,27
2023-02-01,8000828,8000828,14,37,54
2023-02-01,8000828,8000988,8,18,37
2023-02-01,8000828,8003191,6,19,63
2023-02-01,8000988,8000590,6,17,23
2023-02-01,8000988,8000828,6,19,66
2023-02-01,8000988,8000988,13,37,47
2023-02-01,8000988,8004786,0,1,0
2023-02-01,8001069,8005279,0,20,0
2023-02-01,8001203,8001203,18,35,97
2023-02-01,8001203,8002457,6,17,65
2023-02-01,8001203,8004084,13,18,117
2023-02-01,8001466,8001466,30,40,181
2023-02-01,8001466,8003506,17,20,216
2023-02-01,8001466,8006537,17,20,284
2023-02-01,8001676,8001676,17,35,51
2023-02-01,8001676,8001677,7,17,37
2023-02-01,8001676,8002671,6,18,65
2023-02-01,8001677,8001676,11,18,78
2023-02-01,8001677,8001677,18,35,57
2023-02-01,8001677,8003910,7,17,32
2023-02-01,8001792,8000710,11,18,28
2023-02-01,8001792,8001792,13,35,21
2023-02-01,8001792,8005793,8,17,26
2023-02-01,8001835,8000217,18,23,63
2023-02-01,8001835,8000688,13,18,148
2023-02-01,8001835,8001679,4,8,34
2023-02-01,8001835,8001835,30,49,89
2023-02-01,8002146,8000710,10,17,32
2023-02-01,8002146,8002146,15,35,27
2023-02-01,8002146,8004298,4,18,28
2023-02-01,8002209,8002209,20,37,48
2023-02-01,8002209,8004770,4,18,23
2023-02-01,8002209,8005259,13,19,62
2023-02-01,8002211,8002211,26,39,92
2023-02-01,8002211,8003514,17,20,105
2023-02-01,8002211,8006084,10,19,93
2023-02-01,8002457,8000217,8,17,85
2023-02-01,8002457,8001203,10,17,122
2023-02-01,8002457,8002457,18,34,96
2023-02-01,8002671,8001676,7,17,28
2023-02-01,8002671,8002671,11,35,45
2023-02-01,8002671,8004786,11,18,70
2023-02-01,8003100,8003100,5,40,16
2023-02-01,8003100,8005279,15,20,51
2023-02-01,8003100,8006745,0,20,0
2023-02-01,8003136,8000072,18,18,685
2023-02-01,8003136,8003136,21,37,340
2023-02-01,8003136,8003883,16,19,175
2023-02-01,8003191,8000828,8,18,38
2023-02-01,8003191,8003191,14,37,46
2023-02-01,8003191,8004845,9,19,62
2023-02-01,8003488,8003488,17,37,45
2023-02-01,8003488,8003830,12,19,46
2023-02-01,8003488,8005259,4,18,25
2023-02-01,8003506,8001466,16,20,171
2023-02-01,8003506,8003506,35,40,210
2023-02-01,8003506,8006181,19,20,258
2023-02-01,8003514,8000217,20,20,140
2023-02-01,8003514,8002211,9,19,74
2023-02-01,8003514,8003514,33,39,103
2023-02-01,8003830,8003488,6,18,35
2023-02-01,8003830,8003830,12,37,36
2023-02-01,8003830,8004391,7,19,36
2023-02-01,8003910,8000720,8,17,48
2023-02-01,8003910,8001677,10,18,78
2023-02-01,8003910,8003910,15,35,49
2023-02-01,8004298,8002146,4,17,16
2023-02-01,8004298,8004298,6,35,21
2023-02-01,8004298,8084074,4,18,28
2023-02-01,8004391,8003830,6,18,38
2023-02-01,8004391,8004391,15,37,45
2023-02-01,8004391,8004554,11,19,57
2023-02-01,8004554,8000688,12,19,62
2023-02-01,8004554,8004391,6,18,55
2023-02-01,8004554,8004554,20,37,65
2023-02-01,8004700,8004700,29,40,136
2023-02-01,8004700,8006086,14,20,201
2023-02-01,8004700,8006181,18,20,112
2023-02-01,8004770,8002209,16,19,73
2023-02-01,8004770,8004770,21,37,55
2023-02-01,8004770,8004917,7,18,53
2023-02-01,8004786,8000590,7,19,63
2023-02-01,8004786,8002671,8,17,41
2023-02-01,8004786,8004786,19,34,64
2023-02-01,8004845,8003191,8,18,38
2023-02-01,8004845,8004845,21,33,42
2023-02-01,8004845,8005223,6,18,23
2023-02-01,8004917,8004770,14,19,66
2023-02-01,8004917,8004917,30,37,76
2023-02-01,8004917,8006745,15,18,73
2023-02-01,8005223,8004845,9,17,32
2023-02-01,8005223,8005223,14,35,25
2023-02-01,8005223,8005793,5,18,25
2023-02-01,8005259,8002209,4,18,25
2023-02-01,8005259,8003488,12,19,60
2023-02-01,8005259,8005259,16,37,42
2023-02-01,8005279,8001069,18,20,58
2023-02-01,8005279,8003100,0,20,0
2023-02-01,8005279,8005279,18,40,37
2023-02-01,8005793,8001792,7,18,23
2023-02-01,8005793,8005223,8,17,25
2023-02-01,8005793,8005793,16,35,24
2023-02-01,8006084,8000451,11,16,94
2023-02-01,8006084,8000720,0,3,0
2023-02-01,8006084,8002211,13,20,76
2023-02-01,8006084,8006084,25,39,77
2023-02-01,8006086,8004700,18,20,86
2023-02-01,8006086,8006086,31,40,146
2023-02-01,8006181,8003506,18,20,156
2023-02-01,8006181,8004700,18,19,221
2023-02-01,8006181,8006181,35,40,197
2023-02-01,8006537,8000217,16,19,366
2023-02-01,8006537,8001466,16,20,250
2023-02-01,8006537,8006537,33,38,301
2023-02-01,8006745,8003100,15,20,51
2023-02-01,8006745,8004917,17,17,127
2023-02-01,8006745,8006745,32,40,63
2023-02-01,8084074,8004298,2,17,14
2023-02-01,8084074,8084074,13,35,32
2023-02-02,8000072,8003136,3,19,32
2023-02-02,8000217,8000217,82,100,152
2023-02-02,8000217,8000688,4,7,30
2023-02-02,8000217,8001203,1,1,30
2023-02-02,8000217,8001835,17,26,111
2023-02-02,8000217,8002078,1,1,60
2023-02-02,8000217,8002457,10,17,115
2023-02-02,8000217,8003514,11,18,57
2023-02-02,8000217,8004084,36,47,167
2023-02-02,8000217,8006537,13,19,101
2023-02-02,8000451,8000451,20,29,88
2023-02-02,8000451,8001678,9,16,84
2023-02-02,8000451,8006084,8,13,95
2023-02-02,8000590,8000590,26,36,396
2023-02-02,8000590,8000988,14,19,434
2023-02-02,8000590,8004786,13,17,376
2023-02-02,8000688,8000217,6,9,207
2023-02-02,8000688,8000688,31,46,151
2023-02-02,8000688,8001679,14,24,80
2023-02-02,8000688,8001835,9,13,192
2023-02-02,8000688,8004554,13,18,97
2023-02-02,8000710,8000710,28,35,415
2023-02-02,8000710,8001792,12,17,397
2023-02-02,8000710,8002146,14,18,427
2023-02-02,8000828,8000828,26,37,427
2023-02-02,8000828,8000988,13,18,420
2023-02-02,8000828,8003191,13,19,431
2023-02-02,8000988,8000590,12,17,362
2023-02-02,8000988,8000828,13,19,433
2023-02-02,8000988,8000988,26,37,421
2023-02-02,8000988,8004786,1,1,1080
2023-02-02,8001069,8005279,4,20,54
2023-02-02,8001203,8001203,21,35,81
2023-02-02,8001203,8002457,9,17,49
2023-02-02,8001203,8004084,12,18,98
2023-02-02,8001466,8001466,37,40,260
2023-02-02,8001466,8003506,18,20,256
2023-02-02,8001466,8006537,20,20,310
2023-02-02,8001676,8001676,28,35,549
2023-02-02,8001676,8001677,12,17,658
2023-02-02,8001676,8002671,15,18,460
2023-02-02,8001677,8001676,15,18,462
2023-02-02,8001677,8001677,28,35,540
2023-02-02,8001677,8003910,12,17,814
2023-02-02,8001792,8000710,16,18,423
2023-02-02,8001792,8001792,25,35,404
2023-02-02,8001792,8005793,12,17,409
2023-02-02,8001835,8000217,21,23,164
2023-02-02,8001835,8000688,14,18,172
2023-02-02,8001835,8001679,5,8,41
2023-02-02,8001835,8001835,40,49,145
2023-02-02,8002146,8000710,12,17,402
2023-02-02,8002146,8002146,29,35,387
2023-02-02,8002146,8004298,15,18,472
2023-02-02,8002209,8002209,24,37,116
2023-02-02,8002209,8004770,8,18,78
2023-02-02,8002209,8005259,14,19,137
2023-02-02,8002211,8002211,28,37,84
2023-02-02,8002211,8003514,16,19,112
2023-02-02,8002211,8006084,13,19,60
2023-02-02,8002457,8000217,8,17,51
2023-02-02,8002457,8001203,10,17,99
2023-02-02,8002457,8002457,18,34,74
2023-02-02,8002671,8001676,12,17,646
2023-02-02,8002671,8002671,27,35,550
2023-02-02,8002671,8004786,15,18,455
2023-02-02,8003100,8003100,13,40,67
2023-02-02,8003100,8005279,16,20,96
2023-02-02,8003100,8006745,4,20,54
2023-02-02,8003136,8000072,18,18,1000
2023-02-02,8003136,8003136,20,37,485
2023-02-02,8003136,8003883,15,19,153
2023-02-02,8003191,8000828,14,18,422
2023-02-02,8003191,8003191,27,37,422
2023-02-02,8003191,8004845,17,19,450
2023-02-02,8003488,8003488,22,37,114
2023-02-02,8003488,8003830,13,19,136
2023-02-02,8003488,8005259,8,18,82
2023-02-02,8003506,8001466,20,20,270
2023-02-02,8003506,8003506,39,40,276
2023-02-02,8003506,8006181,20,20,316
2023-02-02,8003514,8000217,18,19,152
2023-02-02,8003514,8002211,13,18,47
2023-02-02,8003514,8003514,29,37,96
2023-02-02,8003830,8003488,11,18,97
2023-02-02,8003830,8003830,23,37,113
2023-02-02,8003830,8004391,13,19,129
2023-02-02,8003910,8000720,14,17,766
2023-02-02,8003910,8001677,15,18,268
2023-02-02,8003910,8003910,29,35,489
2023-02-02,8004298,8002146,8,17,316
2023-02-02,8004298,8004298,21,35,438
2023-02-02,8004298,8084074,14,18,562
2023-02-02,8004391,8003830,11,18,100
2023-02-02,8004391,8004391,25,37,112
2023-02-02,8004391,8004554,13,19,139
2023-02-02,8004554,8000688,17,19,152
2023-02-02,8004554,8004391,11,18,85
2023-02-02,8004554,8004554,28,37,130
2023-02-02,8004700,8004700,29,40,239
2023-02-02,8004700,8006086,17,20,382
2023-02-02,8004700,8006181,18,20,170
2023-02-02,8004770,8002209,16,19,159
2023-02-02,8004770,8004770,26,37,139
2023-02-02,8004770,8004917,12,18,160
2023-02-02,8004786,8000590,15,19,428
2023-02-02,8004786,8002671,12,17,662
2023-02-02,8004786,8004786,29,34,528
2023-02-02,8004845,8003191,14,18,427
2023-02-02,8004845,8004845,30,33,471
2023-02-02,8004845,8005223,12,18,417
2023-02-02,8004917,8004770,14,19,148
2023-02-02,8004917,8004917,34,37,173
2023-02-02,8004917,8006745,17,18,160
2023-02-02,8005223,8004845,14,17,425
