date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000119,8000119,72,79,291
2023-11-01,8000119,8000195,36,39,257
2023-11-01,8000119,8002141,10,13,155
2023-11-01,8000119,8005920,38,40,167
2023-11-01,8000119,8098261,16,18,450
2023-11-01,8000183,8000010,9,9,213
2023-11-01,8000183,8000183,94,128,292
2023-11-01,8000183,8000256,13,13,672
2023-11-01,8000183,8000678,16,19,147
2023-11-01,8000183,8003076,28,38,352
2023-11-01,8000183,8005185,1,1,360
2023-11-01,8000195,8000119,34,40,323
2023-11-01,8000195,8000144,8,9,423
2023-11-01,8000195,8000195,68,79,285
2023-11-01,8000195,8000962,2,2,330
2023-11-01,8000195,8001004,2,3,180
2023-11-01,8000195,8002458,6,6,180
2023-11-01,8000195,8003901,2,2,330
2023-11-01,8000195,8004584,3,3,470
2023-11-01,8000220,8000220,41,43,128
2023-11-01,8000220,8003024,13,19,76
2023-11-01,8000220,8004185,3,3,290
2023-11-01,8000220,8005927,26,33,108
2023-11-01,8000220,8098261,3,3,230
2023-11-01,8000256,8000183,13,16,521
2023-11-01,8000256,8000256,52,67,333
2023-11-01,8000256,8000678,10,19,104
2023-11-01,8000256,8004781,26,32,359
2023-11-01,8000258,8000258,13,13,83
2023-11-01,8000258,8000576,8,18,52
2023-11-01,8000258,8000720,20,23,127
2023-11-01,8000258,8002184,7,8,60
2023-11-01,8000258,8005145,7,11,188
2023-11-01,8000258,8005883,5,17,78
2023-11-01,8000258,8005923,19,36,90
2023-11-01,8000258,8006164,8,16,54
2023-11-01,8000419,8000419,29,38,106
2023-11-01,8000419,8001708,11,19,103
2023-11-01,8000419,8005828,18,19,104
2023-11-01,8000515,8000515,24,36,66
2023-11-01,8000515,8005302,11,18,53
2023-11-01,8000515,8005975,12,18,72
2023-11-01,8000524,8000524,69,79,82
2023-11-01,8000524,8000653,24,39,35
2023-11-01,8000524,8001825,33,40,149
2023-11-01,8000533,8000533,9,17,44
2023-11-01,8000533,8005687,5,9,53
2023-11-01,8000533,8005912,4,8,30
2023-11-01,8000545,8000545,20,30,67
2023-11-01,8000545,8002623,4,14,26
2023-11-01,8000545,8003982,15,16,98
2023-11-01,8000555,8000555,15,35,86
2023-11-01,8000555,8002703,6,17,42
2023-11-01,8000555,8003205,10,18,123
2023-11-01,8000556,8003317,4,21,9
2023-11-01,8000576,8000258,19,19,513
2023-11-01,8000576,8000576,27,37,318
2023-11-01,8000576,8005495,17,17,124
2023-11-01,8000576,8006258,1,1,30
2023-11-01,8000603,8000603,19,42,33
2023-11-01,8000603,8001829,11,21,41
2023-11-01,8000603,8003072,10,21,30
2023-11-01,8000621,8005962,0,16,0
2023-11-01,8000653,8000524,37,40,158
2023-11-01,8000653,8000653,55,79,105
