date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-01-24,8000028,8000028,7,17,30
2023-01-24,8000028,8000267,0,2,0
2023-01-24,8000028,8000974,2,4,30
2023-01-24,8000028,8001348,2,18,5
2023-01-24,8000028,8004126,3,7,34
2023-01-24,8000028,8004759,4,14,34
2023-01-24,8000028,8005895,3,12,18
2023-01-24,8000173,8000173,0,3,0
2023-01-24,8000173,8000247,0,1,0
2023-01-24,8000173,8000287,0,1,0
2023-01-24,8000173,8005133,0,1,0
2023-01-24,8000201,8000201,13,31,67
2023-01-24,8000201,8000247,4,14,26
2023-01-24,8000201,8000328,0,2,0
2023-01-24,8000201,8002523,1,1,60
2023-01-24,8000201,8003063,1,1,30
2023-01-24,8000201,8004759,7,13,115
2023-01-24,8000247,8000173,1,2,15
2023-01-24,8000247,8000201,6,14,75
2023-01-24,8000247,8000247,10,29,59
2023-01-24,8000247,8000287,0,1,0
2023-01-24,8000247,8002924,2,7,30
2023-01-24,8000247,8005352,2,5,90
2023-01-24,8000247,8006155,0,1,0
2023-01-24,8000267,8000267,26,62,47
2023-01-24,8000267,8003476,7,17,55
2023-01-24,8000267,8003763,1,1,60
2023-01-24,8000267,8003887,7,16,62
2023-01-24,8000267,8005895,4,17,35
2023-01-24,8000267,8006017,4,13,28
2023-01-24,8000287,8000173,0,1,0
2023-01-24,8000287,8000287,4,12,28
2023-01-24,8000287,8002924,3,6,30
2023-01-24,8000287,8005466,1,5,6
2023-01-24,8000328,8000328,5,22,12
2023-01-24,8000328,8001348,3,11,14
2023-01-24,8000328,8004759,4,11,33
2023-01-24,8000974,8000028,0,4,-8
2023-01-24,8000974,8000974,2,8,15
2023-01-24,8000974,8002605,1,1,60
2023-01-24,8000974,8004936,1,3,20
2023-01-24,8001149,8001149,29,74,77
2023-01-24,8001149,8001623,2,2,210
2023-01-24,8001149,8001640,8,20,44
2023-01-24,8001149,8002542,4,19,17
2023-01-24,8001149,8002853,10,21,130
2023-01-24,8001149,8005670,2,6,100
2023-01-24,8001149,8006634,2,6,205
2023-01-24,8001289,8001289,20,62,36
2023-01-24,8001289,8002878,8,21,37
2023-01-24,8001289,8003476,10,24,50
2023-01-24,8001289,8003813,2,7,17
2023-01-24,8001289,8005670,2,4,60
2023-01-24,8001310,8001310,3,9,63
2023-01-24,8001310,8001680,2,4,75
2023-01-24,8001310,8002853,3,5,60
2023-01-24,8001334,8001334,15,42,30
