date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-06-01,8000027,8000027,26,31,179
2023-06-01,8000027,8000566,18,23,185
2023-06-01,8000027,8001054,2,2,255
2023-06-01,8000027,8002075,0,1,0
2023-06-01,8000027,8003922,13,14,152
2023-06-01,8000204,8000204,13,31,34
2023-06-01,8000204,8000540,3,15,10
2023-06-01,8000204,8006266,11,18,38
2023-06-01,8000269,8000269,68,83,196
2023-06-01,8000269,8001929,37,38,364
2023-06-01,8000269,8002793,2,2,120
2023-06-01,8000269,8005800,15,24,75
2023-06-01,8000269,8006085,10,19,81
2023-06-01,8000540,8000204,4,18,23
2023-06-01,8000540,8000540,7,33,19
2023-06-01,8000540,8004332,3,15,8
2023-06-01,8000566,8000027,15,20,118
2023-06-01,8000566,8000566,37,45,165
2023-06-01,8000566,8002075,2,2,150
2023-06-01,8000566,8003086,2,2,120
2023-06-01,8000566,8005800,20,20,308
2023-06-01,8000566,8005801,1,2,210
2023-06-01,8000606,8000606,1,3,100
2023-06-01,8000606,8003413,1,1,30
2023-06-01,8000606,8006264,0,1,0
2023-06-01,8000822,8000822,3,4,82
2023-06-01,8000822,8001400,1,1,270
2023-06-01,8000822,8004305,1,2,30
2023-06-01,8000822,8004755,0,1,0
2023-06-01,8000882,8000882,19,23,248
2023-06-01,8000882,8001679,5,5,648
2023-06-01,8000882,8003485,1,1,180
2023-06-01,8000882,8003921,1,2,90
2023-06-01,8000882,8004755,7,9,400
2023-06-01,8000882,8005966,2,3,40
2023-06-01,8001054,8000027,1,2,45
2023-06-01,8001054,8001054,3,4,165
2023-06-01,8001054,8004250,1,1,450
2023-06-01,8001054,8005121,1,1,180
2023-06-01,8001298,8001298,1,2,315
2023-06-01,8001330,8001330,1,4,82
2023-06-01,8001330,8003413,1,1,300
2023-06-01,8001330,8004849,0,2,0
2023-06-01,8001400,8001400,1,1,210
2023-06-01,8001400,8004305,1,1,180
2023-06-01,8001430,8001430,2,2,105
2023-06-01,8001430,8003485,2,2,90
2023-06-01,8001679,8000688,17,17,364
2023-06-01,8001679,8000882,5,5,408
2023-06-01,8001679,8001679,42,53,250
2023-06-01,8001679,8001835,9,9,177
2023-06-01,8001679,8002506,10,21,216
2023-06-01,8001925,8001925,3,3,140
2023-06-01,8001925,8004983,1,1,180
2023-06-01,8001925,8005966,2,2,135
2023-06-01,8001929,8000269,37,41,115
2023-06-01,8001929,8001929,74,79,226
2023-06-01,8001929,8002612,36,38,335
2023-06-01,8002075,8000027,2,2,135
2023-06-01,8002075,8000566,1,1,30
2023-06-01,8002075,8002075,3,3,110
2023-06-01,8002076,8002076,23,37,67
2023-06-01,8002076,8005139,1,2,30
2023-06-01,8002076,8005855,2,2,75
2023-06-01,8002076,8006085,4,18,35
2023-06-01,8002076,8006266,13,15,102
2023-06-01,8002506,8001679,19,21,179
2023-06-01,8002506,8002506,37,42,195
2023-06-01,8002506,8003357,18,21,294
2023-06-01,8003063,8002523,1,1,30
2023-06-01,8003063,8003063,3,3,50
2023-06-01,8003063,8004321,2,2,75
2023-06-01,8003086,8000027,2,2,195
2023-06-01,8003086,8003086,1,2,90
2023-06-01,8003357,8002506,9,21,111
2023-06-01,8003357,8003357,4,4,585
2023-06-01,8003357,8004592,2,3,540
2023-06-01,8003413,8001330,1,2,15
2023-06-01,8003413,8003413,2,3,120
2023-06-01,8003413,8006264,1,1,300
2023-06-01,8003485,8000882,2,3,70
2023-06-01,8003485,8003485,4,4,98
2023-06-01,8003485,8005966,1,1,150
2023-06-01,8003921,8003921,1,2,75
2023-06-01,8003921,8004755,2,2,90
2023-06-01,8003922,8000027,13,13,217
2023-06-01,8003922,8003922,26,27,163
2023-06-01,8003922,8004987,13,14,171
2023-06-01,8004250,8001054,1,2,15
2023-06-01,8004250,8004250,1,3,160
2023-06-01,8004250,8005121,1,1,450
2023-06-01,8004305,8000822,1,1,30
2023-06-01,8004305,8004305,17,23,193
2023-06-01,8004305,8004755,9,11,98
2023-06-01,8004305,8004847,40,47,55
2023-06-01,8004321,8003063,1,1,60
2023-06-01,8004321,8004321,3,3,50
2023-06-01,8004321,8006155,1,2,15
2023-06-01,8004332,8000540,4,18,28
2023-06-01,8004592,8001298,1,2,315
2023-06-01,8004592,8003357,1,1,360
2023-06-01,8004592,8004592,3,4,458
2023-06-01,8004755,8000822,0,1,0
2023-06-01,8004755,8000882,10,12,120
2023-06-01,8004755,8004305,7,8,420
2023-06-01,8004755,8004755,19,23,220
2023-06-01,8004755,8005543,1,2,105
2023-06-01,8004849,8001330,2,2,240
2023-06-01,8004849,8004849,2,4,142
2023-06-01,8004849,8005121,0,2,0
2023-06-01,8004983,8001925,2,2,150
2023-06-01,8004983,8004983,5,5,114
2023-06-01,8004983,8005966,1,1,90
2023-06-01,8004987,8003922,13,13,134
2023-06-01,8004987,8004987,24,27,149
2023-06-01,8005121,8004250,0,2,0
2023-06-01,8005121,8004849,2,2,285
2023-06-01,8005121,8005121,2,4,150
2023-06-01,8005139,8002076,1,1,60
2023-06-01,8005139,8005139,2,3,20
2023-06-01,8005139,8006266,1,2,15
2023-06-01,8005543,8000822,2,2,135
2023-06-01,8005543,8005543,2,2,120
2023-06-01,8005800,8000269,20,22,305
2023-06-01,8005800,8000566,15,21,70
2023-06-01,8005800,8005800,35,46,200
2023-06-01,8005800,8005801,2,3,130
2023-06-01,8005855,8002076,2,2,195
2023-06-01,8005855,8005855,3,4,128
2023-06-01,8005855,8006266,2,2,90
2023-06-01,8005966,8000882,1,1,60
2023-06-01,8005966,8001430,2,2,120
2023-06-01,8005966,8001925,1,1,180
2023-06-01,8005966,8003485,1,1,60
2023-06-01,8005966,8004983,0,1,0
2023-06-01,8005966,8005966,7,8,90
2023-06-01,8006085,8000269,13,18,163
2023-06-01,8006085,8002076,13,19,82
2023-06-01,8006085,8006085,18,37,71
2023-06-01,8006155,8000247,1,2,15
2023-06-01,8006155,8004321,1,1,60
2023-06-01,8006155,8006155,2,3,40
