date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000007,8000007,47,69,91
2023-03-01,8000007,8000468,22,39,72
2023-03-01,8000007,8000558,15,20,84
2023-03-01,8000007,8000602,16,18,50
2023-03-01,8000007,8001813,0,2,0
2023-03-01,8000007,8007474,12,16,88
2023-03-01,8000121,8000021,22,24,386
2023-03-01,8000121,8000121,66,87,152
2023-03-01,8000121,8000976,15,18,87
2023-03-01,8000121,8003075,5,6,85
2023-03-01,8000121,8004614,11,22,27
2023-03-01,8000121,8006312,13,17,94
2023-03-01,8000137,8000137,30,33,133
2023-03-01,8000137,8002444,14,19,115
2023-03-01,8000137,8003285,22,24,126
2023-03-01,8000137,8070096,17,19,62
2023-03-01,8000216,8000216,65,107,101
2023-03-01,8000216,8001663,0,1,-30
2023-03-01,8000216,8002875,1,1,30
2023-03-01,8000216,8003080,15,22,80
2023-03-01,8000216,8003349,21,38,139
2023-03-01,8000216,8003507,9,20,94
2023-03-01,8000216,8005713,1,1,60
2023-03-01,8000216,8006468,21,31,77
2023-03-01,8000254,8000254,158,245,87
2023-03-01,8000254,8003125,6,11,38
2023-03-01,8000254,8003172,9,18,75
2023-03-01,8000254,8003186,4,6,90
2023-03-01,8000254,8006531,10,21,91
2023-03-01,8000254,8006536,12,24,212
2023-03-01,8000254,8079045,2,6,45
2023-03-01,8000254,8079143,24,57,52
2023-03-01,8000254,8084067,52,82,74
2023-03-01,8000257,8000257,75,94,99
2023-03-01,8000257,8000332,16,17,109
2023-03-01,8000257,8001032,22,32,118
2023-03-01,8000257,8002872,10,10,117
2023-03-01,8000257,8002934,25,40,49
2023-03-01,8000257,8004714,24,37,55
2023-03-01,8000257,8004788,21,31,54
2023-03-01,8000257,8100002,1,1,450
2023-03-01,8000326,8000326,137,175,117
2023-03-01,8000326,8000332,9,9,107
2023-03-01,8000326,8001057,34,42,153
2023-03-01,8000326,8002056,1,1,180
2023-03-01,8000326,8003687,53,79,84
2023-03-01,8000326,8003759,0,1,0
2023-03-01,8000326,8005345,27,41,162
2023-03-01,8000326,8005628,6,9,97
2023-03-01,8000327,8000327,22,33,105
2023-03-01,8000327,8000340,10,16,84
2023-03-01,8000327,8007474,11,17,120
2023-03-01,8000332,8000257,13,17,111
2023-03-01,8000332,8000326,7,8,146
2023-03-01,8000332,8000332,73,101,117
2023-03-01,8000332,8001032,19,32,90
2023-03-01,8000332,8002014,1,1,90
2023-03-01,8000332,8002025,38,53,134
2023-03-01,8000332,8003759,7,8,101
