date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8000075,8000075,94,111,110
2023-12-01,8000075,8000840,30,38,160
2023-12-01,8000075,8003992,16,18,88
2023-12-01,8000075,8005247,38,56,72
2023-12-01,8000075,8005562,0,19,0
2023-12-01,8000154,8000154,55,71,289
2023-12-01,8000154,8004253,14,18,128
2023-12-01,8000154,8005659,17,17,935
2023-12-01,8000154,8006170,16,26,35
2023-12-01,8000154,8079083,13,18,113
2023-12-01,8000175,8000175,83,113,102
2023-12-01,8000175,8001110,27,39,131
2023-12-01,8000175,8001302,1,1,240
2023-12-01,8000175,8003796,27,37,96
2023-12-01,8000175,8005247,17,18,73
2023-12-01,8000175,8005649,13,14,66
2023-12-01,8000272,8000272,125,166,230
2023-12-01,8000272,8000875,12,18,57
2023-12-01,8000272,8003516,20,41,190
2023-12-01,8000272,8004312,16,42,53
2023-12-01,8000272,8005346,17,27,122
2023-12-01,8000272,8006392,28,37,169
2023-12-01,8000319,8000319,59,82,115
2023-12-01,8000319,8002625,14,19,95
2023-12-01,8000319,8003294,14,22,75
2023-12-01,8000319,8005649,27,41,140
2023-12-01,8000357,8000357,29,36,228
2023-12-01,8000357,8000371,15,19,231
2023-12-01,8000357,8001027,13,17,244
2023-12-01,8000371,8000357,14,17,245
2023-12-01,8000371,8000371,28,36,238
2023-12-01,8000371,8006680,15,19,253
2023-12-01,8000378,8000378,45,54,110
2023-12-01,8000378,8002238,19,22,157
2023-12-01,8000378,8003980,2,5,48
2023-12-01,8000378,8005346,24,27,97
2023-12-01,8000563,8000563,27,42,76
2023-12-01,8000563,8001221,14,21,86
2023-12-01,8000563,8007868,17,21,126
2023-12-01,8000792,8000792,23,45,55
2023-12-01,8000792,8002929,9,20,76
2023-12-01,8000792,8005659,9,25,22
2023-12-01,8000840,8000075,36,38,96
2023-12-01,8000840,8000840,59,76,118
2023-12-01,8000840,8002083,25,37,158
2023-12-01,8000840,8003992,1,1,30
2023-12-01,8000875,8000272,18,20,896
2023-12-01,8000875,8000875,88,115,258
2023-12-01,8000875,8004392,22,37,138
2023-12-01,8000875,8005659,14,18,72
2023-12-01,8000875,8006392,25,40,130
2023-12-01,8000923,8000923,26,37,101
2023-12-01,8000923,8004236,15,18,45
2023-12-01,8000923,8004771,15,19,161
2023-12-01,8000926,8000926,31,44,150
2023-12-01,8000926,8003991,18,22,102
2023-12-01,8000926,8004004,16,22,207
2023-12-01,8000941,8000941,62,82,74
2023-12-01,8000941,8004312,24,40,46
2023-12-01,8000967,8000967,58,76,205
2023-12-01,8000967,8002132,34,39,282
2023-12-01,8000967,8003516,25,37,156
2023-12-01,8001027,8000357,15,19,213
2023-12-01,8001027,8001027,29,36,232
2023-12-01,8001027,8006581,13,17,251
2023-12-01,8001110,8000175,30,39,85
2023-12-01,8001110,8001110,54,78,102
2023-12-01,8001110,8001799,19,38,122
2023-12-01,8001110,8005247,0,1,0
2023-12-01,8001221,8000563,14,21,97
2023-12-01,8001221,8001221,28,42,99
2023-12-01,8001221,8001812,14,21,87
2023-12-01,8001302,8001302,50,76,110
2023-12-01,8001302,8003796,25,38,126
2023-12-01,8001302,8005243,26,38,95
2023-12-01,8001470,8001470,28,42,94
2023-12-01,8001470,8001812,16,21,129
2023-12-01,8001470,8006627,13,21,81
2023-12-01,8001570,8001570,64,77,181
2023-12-01,8001570,8003108,27,39,212
2023-12-01,8001570,8005796,30,37,147
2023-12-01,8001799,8001110,24,38,63
2023-12-01,8001799,8001799,52,76,99
2023-12-01,8001799,8005247,28,38,141
2023-12-01,8001812,8001221,11,21,103
2023-12-01,8001812,8001470,9,21,59
2023-12-01,8001812,8001812,28,42,95
2023-12-01,8001990,8001990,43,52,82
2023-12-01,8001990,8004909,20,26,68
2023-12-01,8002083,8000840,23,37,61
2023-12-01,8002083,8002083,54,74,116
2023-12-01,8002083,8003992,26,37,160
2023-12-01,8002117,8002117,61,76,186
2023-12-01,8002117,8002132,32,37,161
2023-12-01,8002117,8005797,30,39,212
2023-12-01,8002132,8000967,24,37,152
2023-12-01,8002132,8002117,32,39,244
2023-12-01,8002132,8002132,61,76,212
2023-12-01,8002238,8000378,18,22,79
2023-12-01,8002238,8002238,65,86,107
2023-12-01,8002238,8003059,30,43,132
2023-12-01,8002238,8003980,18,21,109
2023-12-01,8002625,8000319,16,17,272
2023-12-01,8002625,8002625,30,36,178
2023-12-01,8002625,8006581,14,19,103
2023-12-01,8002746,8002746,0,38,0
2023-12-01,8002746,8004344,0,19,0
2023-12-01,8002746,8005562,0,19,0
2023-12-01,8002929,8000792,19,25,49
2023-12-01,8002929,8002929,21,45,61
2023-12-01,8002929,8004199,11,20,76
2023-12-01,8003059,8002238,26,43,81
2023-12-01,8003059,8003059,33,42,113
2023-12-01,8003059,8006627,11,21,114
2023-12-01,8003108,8001570,16,37,118
2023-12-01,8003108,8003108,63,76,185
2023-12-01,8003294,8000319,13,24,44
2023-12-01,8003294,8003294,54,77,70
2023-12-01,8003294,8003684,28,38,78
2023-12-01,8003294,8005649,13,15,134
2023-12-01,8003516,8000272,29,37,164
2023-12-01,8003516,8000967,29,39,229
2023-12-01,8003516,8003516,53,78,178
2023-12-01,8003516,8005796,1,2,30
2023-12-01,8003684,8001200,15,17,113
2023-12-01,8003684,8003294,27,39,63
2023-12-01,8003684,8003684,49,77,66
2023-12-01,8003796,8000175,18,38,115
2023-12-01,8003796,8001302,26,37,86
2023-12-01,8003796,8003796,53,75,110
2023-12-01,8003980,8000378,4,5,66
2023-12-01,8003980,8002238,14,21,93
2023-12-01,8003980,8003980,40,52,81
2023-12-01,8003980,8004909,17,26,85
2023-12-01,8003991,8000926,12,22,195
2023-12-01,8003991,8003991,32,44,150
2023-12-01,8003991,8003992,19,22,100
2023-12-01,8003992,8000075,15,17,102
2023-12-01,8003992,8000840,1,1,120
2023-12-01,8003992,8002083,24,37,62
2023-12-01,8003992,8003991,16,22,209
2023-12-01,8003992,8003992,67,78,135
2023-12-01,8003992,8004004,16,18,105
