date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8000023,8000023,51,79,428
2023-05-01,8000023,8000446,14,16,146
2023-05-01,8000023,8003478,16,23,253
2023-05-01,8000023,8005019,36,40,658
2023-05-01,8000092,8000092,129,143,286
2023-05-01,8000092,8001718,15,15,496
2023-05-01,8000092,8002293,5,6,150
2023-05-01,8000092,8003798,7,11,46
2023-05-01,8000092,8004466,15,15,438
2023-05-01,8000092,8004819,16,18,487
2023-05-01,8000092,8006460,1,1,270
2023-05-01,8000092,8006572,22,24,236
2023-05-01,8000334,8000334,53,77,239
2023-05-01,8000334,8004741,35,38,204
2023-05-01,8000334,8005825,18,19,502
2023-05-01,8000416,8000416,25,35,77
2023-05-01,8000416,8001977,12,18,62
2023-05-01,8000416,8003960,9,17,79
2023-05-01,8000446,8000023,14,16,343
2023-05-01,8000446,8000446,68,87,371
2023-05-01,8000446,8000480,25,28,613
2023-05-01,8000446,8002558,18,27,316
2023-05-01,8000480,8000446,15,28,267
2023-05-01,8000480,8000480,40,56,430
2023-05-01,8000480,8000804,25,28,634
2023-05-01,8000749,8000749,49,65,99
2023-05-01,8000749,8005874,19,32,53
2023-05-01,8000754,8000754,0,36,0
2023-05-01,8000754,8000755,0,18,0
2023-05-01,8000754,8005826,0,18,0
2023-05-01,8000755,8000754,0,18,0
2023-05-01,8000804,8000480,17,28,250
2023-05-01,8000804,8000804,36,46,447
2023-05-01,8000804,8003478,21,23,580
2023-05-01,8001092,8001092,70,79,323
2023-05-01,8001092,8001190,16,16,311
2023-05-01,8001092,8001718,19,23,119
2023-05-01,8001092,8002011,22,24,499
2023-05-01,8001136,8001136,28,35,101
2023-05-01,8001136,8001977,14,17,134
2023-05-01,8001136,8005435,13,18,77
2023-05-01,8001139,8001139,32,41,116
2023-05-01,8001139,8002115,14,16,202
2023-05-01,8001139,8003544,20,21,81
2023-05-01,8001190,8001092,16,16,343
2023-05-01,8001190,8001190,35,40,272
2023-05-01,8001190,8001718,4,5,90
2023-05-01,8001190,8006572,17,19,330
2023-05-01,8001273,8001273,31,34,131
2023-05-01,8001273,8005655,15,17,102
2023-05-01,8001273,8006460,15,17,150
2023-05-01,8001654,8002266,3,34,4
2023-05-01,8001718,8000092,16,17,284
2023-05-01,8001718,8001092,20,24,498
2023-05-01,8001718,8001190,3,3,240
2023-05-01,8001718,8001718,42,47,311
2023-05-01,8001718,8006572,3,3,50
2023-05-01,8001977,8000416,13,17,90
2023-05-01,8001977,8001136,13,18,87
2023-05-01,8001977,8001977,51,70,77
2023-05-01,8001977,8004741,13,17,99
2023-05-01,8002011,8001092,21,23,130
2023-05-01,8002011,8002011,44,47,326
2023-05-01,8002115,8001139,11,16,30
2023-05-01,8002115,8002115,24,35,91
2023-05-01,8002115,8003798,17,17,164
2023-05-01,8002115,8003954,1,1,60
2023-05-01,8002185,8002185,0,36,0
2023-05-01,8002185,8003207,0,18,0
2023-05-01,8002185,8005288,0,18,0
2023-05-01,8002266,8001654,7,34,11
2023-05-01,8002266,8002266,14,68,8
2023-05-01,8002266,8005781,25,34,26
2023-05-01,8002293,8000092,2,2,165
2023-05-01,8002293,8002293,8,8,188
2023-05-01,8002293,8003798,1,3,-10
2023-05-01,8002293,8006460,3,3,170
2023-05-01,8002504,8002504,11,65,28
2023-05-01,8002504,8005321,8,33,25
2023-05-01,8002504,8005561,14,32,44
2023-05-01,8002592,8002592,5,36,10
2023-05-01,8002592,8005885,7,18,23
2023-05-01,8002592,8006527,0,18,0
2023-05-01,8003032,8003032,4,36,5
2023-05-01,8003032,8005586,3,18,8
2023-05-01,8003207,8002185,0,18,0
2023-05-01,8003207,8003207,0,36,0
2023-05-01,8003207,8003208,0,18,0
2023-05-01,8003208,8003207,0,18,0
2023-05-01,8003208,8003208,0,36,0
2023-05-01,8003208,8005885,0,18,0
2023-05-01,8003253,8003253,15,35,59
2023-05-01,8003253,8003474,9,17,53
2023-05-01,8003253,8003960,6,18,48
2023-05-01,8003474,8003253,6,18,47
2023-05-01,8003474,8003474,53,74,46
2023-05-01,8003474,8003479,15,19,39
2023-05-01,8003474,8005781,0,1,0
2023-05-01,8003478,8000023,20,23,593
2023-05-01,8003478,8000804,13,23,283
2023-05-01,8003478,8003478,35,46,425
2023-05-01,8003479,8003474,15,19,47
2023-05-01,8003479,8003479,19,38,26
2023-05-01,8003479,8005781,3,19,8
2023-05-01,8003544,8001139,19,19,183
2023-05-01,8003544,8003544,39,40,136
2023-05-01,8003544,8004093,18,20,136
2023-05-01,8003774,8003774,18,35,127
2023-05-01,8003774,8011864,7,18,198
2023-05-01,8003776,8003776,19,42,185
2023-05-01,8003776,8003786,17,21,107
2023-05-01,8003776,8006704,9,21,310
2023-05-01,8003777,8003777,17,42,180
2023-05-01,8003777,8003778,13,21,326
2023-05-01,8003777,8006704,5,21,41
2023-05-01,8003778,8003777,3,21,29
2023-05-01,8003786,8003776,8,21,311
2023-05-01,8003786,8003786,28,42,251
2023-05-01,8003786,8005019,18,19,245
