date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8000144,8000144,63,77,203
2023-02-01,8000144,8000195,11,12,102
2023-02-01,8000144,8000338,7,9,313
2023-02-01,8000144,8000768,21,32,116
2023-02-01,8000144,8004927,16,21,310
2023-02-01,8000144,8005444,3,3,130
2023-02-01,8000280,8000280,25,34,625
2023-02-01,8000280,8004071,14,18,658
2023-02-01,8000280,8004796,13,19,524
2023-02-01,8000338,8000144,9,10,252
2023-02-01,8000338,8000338,46,59,220
2023-02-01,8000338,8004207,2,12,28
2023-02-01,8000338,8004927,17,19,133
2023-02-01,8000338,8005725,21,25,244
2023-02-01,8000338,8005823,7,7,420
2023-02-01,8000387,8000230,18,22,195
2023-02-01,8000387,8000387,63,77,156
2023-02-01,8000387,8002710,17,24,52
2023-02-01,8000387,8006200,18,18,120
2023-02-01,8000482,8000482,9,22,29
2023-02-01,8000482,8002651,6,11,22
2023-02-01,8000482,8004401,5,11,35
2023-02-01,8000539,8000539,33,40,199
2023-02-01,8000539,8003057,15,20,165
2023-02-01,8000539,8003227,17,20,213
2023-02-01,8000561,8000561,48,50,144
2023-02-01,8000561,8001004,23,25,119
2023-02-01,8000561,8003551,25,25,184
2023-02-01,8000658,8000658,96,115,199
2023-02-01,8000658,8000661,54,59,253
2023-02-01,8000658,8000662,46,50,190
2023-02-01,8000659,8000659,10,15,48
2023-02-01,8000659,8000660,4,4,38
2023-02-01,8000659,8001033,2,2,30
2023-02-01,8000659,8003079,4,9,53
2023-02-01,8000660,8000659,7,11,79
2023-02-01,8000660,8000660,12,16,86
2023-02-01,8000661,8000658,28,56,62
2023-02-01,8000661,8000661,71,115,140
2023-02-01,8000661,8003299,51,59,216
2023-02-01,8000662,8000658,53,54,292
2023-02-01,8000662,8000662,125,160,228
2023-02-01,8000662,8002256,24,28,347
2023-02-01,8000662,8003952,12,16,165
2023-02-01,8000662,8004318,29,33,199
2023-02-01,8000768,8000144,26,32,90
2023-02-01,8000778,8000778,35,51,202
2023-02-01,8000778,8003989,20,25,140
2023-02-01,8000778,8004731,1,1,90
2023-02-01,8000862,8000862,42,43,170
2023-02-01,8000862,8003057,21,21,179
2023-02-01,8000862,8006094,20,22,142
2023-02-01,8000962,8000195,4,4,135
2023-02-01,8000962,8000962,37,42,118
2023-02-01,8000962,8002458,16,21,116
2023-02-01,8000962,8005444,13,13,108
2023-02-01,8000969,8000969,10,32,20
2023-02-01,8000969,8002856,3,16,15
2023-02-01,8000969,8003457,7,16,17
2023-02-01,8001004,8000195,6,6,145
2023-02-01,8001004,8000561,22,25,134
2023-02-01,8001004,8001004,57,67,101
2023-02-01,8001004,8003901,15,17,94
2023-02-01,8001004,8005444,1,1,210
2023-02-01,8001033,8000660,1,1,240
2023-02-01,8001033,8001033,32,46,76
2023-02-01,8001033,8003079,5,6,55
2023-02-01,8001033,8005444,13,25,42
2023-02-01,8001046,8001046,27,34,131
2023-02-01,8001046,8005802,13,17,88
2023-02-01,8001046,8006670,16,17,159
2023-02-01,8001147,8001147,6,22,23
2023-02-01,8001147,8003749,5,11,38
2023-02-01,8001147,8006279,1,11,5
2023-02-01,8001179,8001179,7,22,23
2023-02-01,8001179,8003457,6,13,35
2023-02-01,8001179,8004401,3,11,14
2023-02-01,8001276,8001276,31,44,165
2023-02-01,8001276,8003123,15,22,147
2023-02-01,8001276,8004030,14,22,169
2023-02-01,8001439,8001439,44,68,161
2023-02-01,8001439,8002263,23,33,170
2023-02-01,8001439,8006378,16,35,132
2023-02-01,8001454,8001454,36,42,151
2023-02-01,8001454,8002378,12,16,84
2023-02-01,8001454,8003057,4,4,165
2023-02-01,8001454,8003227,1,1,300
2023-02-01,8001454,8003230,16,16,227
2023-02-01,8001454,8003901,5,5,138
2023-02-01,8001468,8001468,32,41,160
2023-02-01,8001468,8002074,16,22,191
2023-02-01,8001468,8003483,18,35,179
2023-02-01,8001614,8001614,30,34,121
2023-02-01,8001614,8005653,14,17,132
2023-02-01,8001614,8005802,16,17,154
2023-02-01,8001628,8001628,22,36,500
2023-02-01,8001628,8002593,9,18,393
2023-02-01,8001628,8006533,16,18,623
2023-02-01,8001752,8001752,6,32,11
2023-02-01,8001752,8003038,5,16,19
2023-02-01,8001752,8004256,5,16,15
2023-02-01,8001806,8001806,33,40,70
2023-02-01,8001806,8003692,11,19,68
2023-02-01,8001806,8006218,11,21,50
2023-02-01,8001985,8001985,64,75,117
2023-02-01,8001985,8002244,9,11,175
2023-02-01,8001985,8003057,1,1,60
2023-02-01,8001985,8005532,24,26,129
2023-02-01,8001985,8006730,30,37,107
2023-02-01,8002074,8001468,16,22,145
2023-02-01,8002074,8002074,32,44,167
2023-02-01,8002074,8003123,18,22,188
2023-02-01,8002162,8002162,39,53,239
2023-02-01,8002162,8002256,14,25,120
2023-02-01,8002162,8003560,22,28,346
2023-02-01,8002244,8001985,10,10,96
2023-02-01,8002244,8002244,23,26,141
2023-02-01,8002244,8005532,12,13,168
2023-02-01,8002244,8006730,2,3,70
2023-02-01,8002256,8000662,15,25,121
2023-02-01,8002256,8002162,24,28,341
2023-02-01,8002256,8002256,40,53,243
2023-02-01,8002263,8001439,20,35,144
2023-02-01,8002263,8002263,46,68,153
2023-02-01,8002263,8003483,19,33,125
2023-02-01,8002378,8001454,16,16,204
2023-02-01,8002378,8002378,30,32,148
2023-02-01,8002378,8003057,9,11,115
2023-02-01,8002378,8003227,3,3,110
2023-02-01,8002458,8000195,2,2,390
2023-02-01,8002458,8000962,17,18,90
2023-02-01,8002458,8001004,1,1,30
2023-02-01,8002458,8002458,39,45,124
2023-02-01,8002458,8003901,5,6,135
2023-02-01,8002458,8004584,1,1,90
2023-02-01,8002458,8005444,1,1,90
2023-02-01,8002593,8001628,14,18,593
2023-02-01,8002593,8002593,22,36,487
2023-02-01,8002593,8002994,9,18,407
2023-02-01,8002651,8000482,3,11,30
2023-02-01,8002651,8002651,4,22,20
2023-02-01,8002651,8003749,2,11,14
2023-02-01,8002664,8002664,8,24,29
2023-02-01,8002664,8004207,2,12,8
2023-02-01,8002664,8004780,6,12,45
2023-02-01,8002710,8000387,24,24,291
2023-02-01,8002710,8002710,43,48,176
2023-02-01,8002710,8005138,20,24,66
2023-02-01,8002761,8002761,34,51,230
2023-02-01,8002761,8003560,16,25,143
2023-02-01,8002761,8003952,15,26,302
2023-02-01,8002856,8000969,7,16,22
2023-02-01,8002856,8002856,12,32,20
2023-02-01,8002856,8004256,7,16,22
2023-02-01,8002881,8002881,14,32,27
2023-02-01,8002881,8003038,11,16,26
2023-02-01,8002881,8003326,5,16,19
2023-02-01,8002994,8002593,15,18,592
2023-02-01,8002994,8002994,24,36,512
2023-02-01,8002994,8004071,12,18,435
2023-02-01,8003038,8001752,3,16,9
2023-02-01,8003038,8002881,7,16,24
2023-02-01,8003038,8003038,13,32,20
2023-02-01,8003057,8000539,19,20,230
2023-02-01,8003057,8000862,18,22,139
2023-02-01,8003057,8001454,5,5,156
2023-02-01,8003057,8002378,9,9,193
2023-02-01,8003057,8003057,60,69,162
2023-02-01,8003057,8006094,2,2,240
2023-02-01,8003079,8000659,2,4,30
2023-02-01,8003079,8001033,3,9,37
2023-02-01,8003079,8003079,9,15,50
2023-02-01,8003123,8001276,18,22,172
2023-02-01,8003123,8002074,13,22,143
2023-02-01,8003123,8003123,27,44,152
2023-02-01,8003230,8001454,9,15,52
2023-02-01,8003230,8003230,29,31,154
2023-02-01,8003230,8003901,8,8,161
2023-02-01,8003299,8000661,26,56,52
2023-02-01,8003299,8003299,76,115,135
2023-02-01,8003299,8004008,48,59,199
2023-02-01,8003326,8002881,9,16,24
2023-02-01,8003326,8003326,8,32,14
2023-02-01,8003326,8006219,4,16,13
2023-02-01,8003457,8000969,2,16,11
2023-02-01,8003457,8001179,4,13,14
2023-02-01,8003457,8003457,5,20,18
2023-02-01,8003483,8001468,21,33,113
2023-02-01,8003483,8002263,25,35,186
2023-02-01,8003483,8003483,44,68,151
2023-02-01,8003551,8000561,22,25,106
2023-02-01,8003551,8003551,44,50,128
2023-02-01,8003560,8002162,15,25,127
2023-02-01,8003560,8002761,18,26,325
2023-02-01,8003560,8003560,37,53,242
2023-02-01,8003560,8003952,2,2,225
2023-02-01,8003627,8003627,26,44,129
2023-02-01,8003627,8004239,15,22,127
2023-02-01,8003627,8004654,14,22,146
2023-02-01,8003692,8000230,16,16,94
2023-02-01,8003692,8001806,20,21,83
2023-02-01,8003692,8003692,39,40,82
2023-02-01,8003749,8001147,1,11,8
2023-02-01,8003749,8002651,3,11,30
2023-02-01,8003749,8003749,4,22,22
2023-02-01,8003859,8003859,28,34,91
2023-02-01,8003859,8004240,14,17,83
2023-02-01,8003859,8006353,14,17,95
2023-02-01,8003901,8000962,3,3,120
2023-02-01,8003901,8001004,12,16,84
2023-02-01,8003901,8001454,4,4,180
2023-02-01,8003901,8002458,3,3,320
2023-02-01,8003901,8003230,9,11,52
2023-02-01,8003901,8003901,49,56,133
2023-02-01,8003901,8004584,10,11,235
2023-02-01,8003901,8005444,2,2,180
2023-02-01,8003952,8000662,20,23,374
2023-02-01,8003952,8002761,17,25,138
2023-02-01,8003952,8003952,62,92,236
2023-02-01,8003952,8004451,10,18,173
2023-02-01,8003952,8006363,17,26,300
2023-02-01,8003982,8000545,13,19,103
2023-02-01,8003982,8003982,77,114,130
2023-02-01,8003982,8004008,29,56,75
2023-02-01,8003982,8004204,1,1,60
2023-02-01,8003989,8000778,15,26,277
2023-02-01,8003989,8003989,72,92,232
2023-02-01,8003989,8004451,41,48,221
2023-02-01,8003989,8004731,14,17,231
2023-02-01,8004008,8003299,27,56,66
2023-02-01,8004008,8003982,46,59,189
2023-02-01,8004008,8004008,76,115,136
2023-02-01,8004030,8001276,13,22,142
2023-02-01,8004030,8004030,26,44,146
2023-02-01,8004030,8004654,10,22,135
2023-02-01,8004071,8000280,15,18,485
2023-02-01,8004071,8002994,18,18,628
2023-02-01,8004071,8004071,34,36,570
2023-02-01,8004207,8000338,2,12,5
2023-02-01,8004207,8002664,6,12,38
