date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000016,8000016,22,24,460
2023-08-01,8000016,8001296,24,35,198
2023-08-01,8000016,8003913,33,41,67
2023-08-01,8000016,8004681,9,12,305
2023-08-01,8000016,8006479,11,12,622
2023-08-01,8000017,8000017,138,188,171
2023-08-01,8000017,8000264,1,9,-7
2023-08-01,8000017,8000704,42,55,64
2023-08-01,8000017,8000706,30,34,174
2023-08-01,8000017,8000765,13,18,400
2023-08-01,8000017,8004050,10,15,204
2023-08-01,8000017,8004220,26,38,296
2023-08-01,8000017,8004238,3,4,195
2023-08-01,8000017,8004643,8,22,35
2023-08-01,8000017,8005989,2,5,120
2023-08-01,8000038,8000038,11,21,177
2023-08-01,8000038,8000157,9,18,162
2023-08-01,8000038,8000925,1,2,15
2023-08-01,8000038,8005820,5,41,11
2023-08-01,8000038,8006440,1,1,60
2023-08-01,8000157,8000038,11,18,237
2023-08-01,8000157,8000157,26,39,172
2023-08-01,8000157,8002699,5,6,145
2023-08-01,8000157,8002700,0,2,0
2023-08-01,8000157,8004220,20,35,255
2023-08-01,8000157,8004458,2,2,225
2023-08-01,8000157,8006289,7,19,39
2023-08-01,8000180,8000180,126,189,125
2023-08-01,8000180,8001974,46,83,67
2023-08-01,8000180,8004333,16,41,48
2023-08-01,8000180,8005157,37,41,149
2023-08-01,8000180,8005769,11,12,678
2023-08-01,8000180,8006479,10,12,208
2023-08-01,8000221,8000221,64,92,118
2023-08-01,8000221,8000295,16,17,115
2023-08-01,8000221,8001111,18,18,103
2023-08-01,8000221,8001472,9,11,33
2023-08-01,8000221,8002243,14,20,58
2023-08-01,8000221,8003381,14,14,81
2023-08-01,8000221,8005827,10,13,164
2023-08-01,8000231,8000231,6,19,16
2023-08-01,8000231,8005011,4,16,22
2023-08-01,8000231,8006354,6,16,21
2023-08-01,8000330,8000330,28,40,190
2023-08-01,8000330,8001651,11,19,317
2023-08-01,8000330,8002168,11,12,142
2023-08-01,8000330,8005388,1,1,120
2023-08-01,8000330,8005449,15,20,46
2023-08-01,8000380,8000380,36,39,495
2023-08-01,8000380,8002930,1,2,150
2023-08-01,8000380,8006217,18,18,595
2023-08-01,8000380,8006376,15,19,459
2023-08-01,8000655,8000655,34,39,479
2023-08-01,8000655,8001090,17,19,535
2023-08-01,8000655,8003569,17,18,528
2023-08-01,8000655,8006376,1,2,240
2023-08-01,8000681,8000681,36,47,234
2023-08-01,8000681,8000736,20,24,209
2023-08-01,8000681,8002380,17,23,278
2023-08-01,8000704,8000017,34,55,69
2023-08-01,8000704,8000704,83,110,66
2023-08-01,8000704,8004238,36,55,47
2023-08-01,8000724,8000221,1,2,45
2023-08-01,8000724,8000724,13,17,157
2023-08-01,8000724,8001660,7,8,221
2023-08-01,8000724,8003045,7,9,107
2023-08-01,8000724,8003381,4,4,150
2023-08-01,8000736,8000681,16,23,266
2023-08-01,8000736,8000736,63,78,357
2023-08-01,8000736,8000765,15,18,530
2023-08-01,8000736,8000777,26,35,182
2023-08-01,8000736,8005714,0,2,0
2023-08-01,8000736,8070097,14,15,646
2023-08-01,8000765,8000017,16,18,592
2023-08-01,8000765,8000706,31,35,169
2023-08-01,8000765,8000736,15,17,494
2023-08-01,8000765,8000765,88,105,292
2023-08-01,8000765,8000766,26,35,207
2023-08-01,8000766,8000736,1,1,30
2023-08-01,8000766,8000765,28,35,192
2023-08-01,8000766,8000766,52,70,119
2023-08-01,8000766,8000777,10,34,54
2023-08-01,8000865,8000865,0,1,0
2023-08-01,8000865,8004488,0,1,0
2023-08-01,8000889,8000889,1,2,30
2023-08-01,8000889,8002776,0,1,0
2023-08-01,8000889,8005608,1,1,60
2023-08-01,8000925,8000038,1,2,210
2023-08-01,8000925,8000925,3,4,120
2023-08-01,8000925,8006171,1,2,30
2023-08-01,8001014,8001014,12,17,138
2023-08-01,8001014,8005179,4,9,90
2023-08-01,8001014,8005433,7,8,154
2023-08-01,8001090,8000280,1,1,90
2023-08-01,8001090,8000655,19,20,441
2023-08-01,8001090,8001090,39,41,417
2023-08-01,8001090,8005908,16,19,561
2023-08-01,8001111,8000221,1,1,90
2023-08-01,8001111,8001111,32,37,97
2023-08-01,8001111,8001933,16,18,122
2023-08-01,8001111,8003381,14,18,88
2023-08-01,8001178,8001005,0,3,0
2023-08-01,8001178,8001178,1,4,8
2023-08-01,8001178,8005329,1,1,120
2023-08-01,8001193,8001193,24,32,94
2023-08-01,8001193,8002177,9,16,56
2023-08-01,8001193,8005011,13,16,120
2023-08-01,8001472,8000221,5,10,18
2023-08-01,8001472,8001472,16,21,37
2023-08-01,8001472,8001474,9,11,46
