date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8010003,8010003,47,56,156
2023-12-01,8010003,8010134,16,18,257
2023-12-01,8010003,8010202,15,22,116
2023-12-01,8010003,8013138,14,22,59
2023-12-01,8010003,8013471,13,17,64
2023-12-01,8010007,8010007,99,131,140
2023-12-01,8010007,8010242,24,28,224
2023-12-01,8010007,8010274,6,8,262
2023-12-01,8010007,8011055,14,40,49
2023-12-01,8010007,8011792,28,39,165
2023-12-01,8010007,8012314,14,19,88
2023-12-01,8010014,8010014,22,37,54
2023-12-01,8010014,8010305,8,18,40
2023-12-01,8010020,8010020,50,55,789
2023-12-01,8010020,8010081,6,7,587
2023-12-01,8010020,8010235,16,17,316
2023-12-01,8010020,8010242,10,10,2598
2023-12-01,8010020,8011449,4,10,30
2023-12-01,8010020,8011687,9,11,499
2023-12-01,8010020,8011746,2,2,495
2023-12-01,8010020,8012919,7,10,246
2023-12-01,8010021,8010021,30,37,178
2023-12-01,8010021,8011934,15,19,163
2023-12-01,8010021,8012533,16,18,202
2023-12-01,8010048,8010048,9,16,304
2023-12-01,8010048,8010203,5,8,424
2023-12-01,8010048,8012993,4,8,180
2023-12-01,8010055,8010055,44,53,439
2023-12-01,8010055,8010203,7,8,428
2023-12-01,8010055,8010385,14,16,668
2023-12-01,8010055,8011602,10,12,300
2023-12-01,8010055,8013004,6,6,90
2023-12-01,8010055,8013318,11,11,535
2023-12-01,8010061,8010061,20,23,347
2023-12-01,8010061,8010124,3,4,292
2023-12-01,8010061,8011852,9,12,285
2023-12-01,8010061,8012440,6,7,467
2023-12-01,8010067,8010067,8,19,25
2023-12-01,8010067,8011106,3,9,10
2023-12-01,8010067,8011678,6,10,36
2023-12-01,8010081,8010020,6,7,223
2023-12-01,8010081,8010081,33,35,453
2023-12-01,8010081,8010198,1,1,1980
2023-12-01,8010081,8011336,8,10,504
2023-12-01,8010081,8011687,9,10,375
2023-12-01,8010102,8010102,37,54,267
2023-12-01,8010102,8010198,1,1,330
2023-12-01,8010102,8011503,12,18,92
2023-12-01,8010102,8012769,5,7,64
2023-12-01,8010105,8010105,26,35,204
2023-12-01,8010105,8011468,14,17,279
2023-12-01,8010105,8013547,14,18,200
2023-12-01,8010110,8010110,16,38,120
2023-12-01,8010110,8012312,14,20,118
2023-12-01,8010118,8010118,43,46,200
2023-12-01,8010118,8010242,1,1,90
2023-12-01,8010118,8012320,22,24,204
2023-12-01,8010118,8012965,20,21,203
2023-12-01,8010118,8087061,10,19,134
2023-12-01,8010124,8010061,4,7,283
2023-12-01,8010124,8010124,8,12,295
2023-12-01,8010124,8012440,4,5,300
2023-12-01,8010126,8010126,112,121,294
2023-12-01,8010126,8010242,8,8,281
2023-12-01,8010126,8010301,17,17,748
2023-12-01,8010126,8011074,5,5,414
2023-12-01,8010126,8011619,18,18,250
2023-12-01,8010126,8011623,39,44,278
2023-12-01,8010126,8013129,2,2,120
2023-12-01,8010134,8010003,17,17,139
2023-12-01,8010134,8010134,65,73,229
2023-12-01,8010134,8010202,10,11,115
2023-12-01,8010134,8011325,15,18,105
2023-12-01,8010134,8012323,5,8,892
2023-12-01,8010134,8012661,8,11,123
2023-12-01,8010134,8012889,8,8,105
2023-12-01,8010137,8010007,1,1,270
2023-12-01,8010137,8010137,26,37,98
2023-12-01,8010137,8010274,15,18,140
2023-12-01,8010137,8010391,6,8,112
2023-12-01,8010137,8011397,5,10,60
2023-12-01,8010140,8012465,2,11,5
2023-12-01,8010142,8003959,6,7,476
2023-12-01,8010142,8010142,59,77,209
2023-12-01,8010142,8010230,17,19,201
2023-12-01,8010142,8010345,9,12,362
2023-12-01,8010142,8012750,1,1,30
2023-12-01,8010142,8012787,7,12,150
2023-12-01,8010142,8013172,10,20,80
2023-12-01,8010142,8013179,6,15,48
2023-12-01,8010142,8013329,1,2,15
2023-12-01,8010145,8010019,23,36,162
2023-12-01,8010145,8010145,45,71,143
2023-12-01,8010145,8011085,19,29,170
2023-12-01,8010170,8010170,11,21,181
2023-12-01,8010170,8012000,3,10,144
2023-12-01,8010170,8012213,6,11,221
2023-12-01,8010178,8011935,0,24,0
2023-12-01,8010196,8010196,28,30,240
2023-12-01,8010196,8011074,16,17,235
2023-12-01,8010196,8011312,11,13,233
2023-12-01,8010198,8010081,1,1,390
2023-12-01,8010198,8010102,1,1,1950
2023-12-01,8010198,8010198,28,41,394
2023-12-01,8010198,8011489,7,9,417
2023-12-01,8010198,8011503,12,20,506
2023-12-01,8010198,8013221,4,10,126
2023-12-01,8010202,8010003,20,20,218
2023-12-01,8010202,8010134,8,11,136
2023-12-01,8010202,8010202,34,42,168
2023-12-01,8010202,8012889,10,11,115
2023-12-01,8010203,8010048,4,8,188
2023-12-01,8010203,8010055,5,6,840
2023-12-01,8010203,8010203,60,70,695
2023-12-01,8010203,8010235,7,7,2859
2023-12-01,8010203,8011172,2,3,190
2023-12-01,8010203,8011178,8,10,198
2023-12-01,8010203,8011834,9,11,395
2023-12-01,8010203,8011849,23,28,472
2023-12-01,8010203,8012492,2,2,1170
2023-12-01,8010203,8012993,9,11,663
2023-12-01,8010203,8013004,5,5,204
2023-12-01,8010230,8010142,9,15,90
2023-12-01,8010230,8010230,16,17,141
2023-12-01,8010230,8012770,2,10,6
2023-12-01,8010230,8013172,10,23,63
2023-12-01,8010230,8013215,15,18,125
2023-12-01,8010235,8010020,14,15,1868
2023-12-01,8010235,8010203,9,9,430
2023-12-01,8010235,8010235,50,54,797
2023-12-01,8010235,8011029,6,8,311
2023-12-01,8010235,8011335,6,7,227
2023-12-01,8010235,8011746,3,3,1110
2023-12-01,8010235,8012961,7,9,400
2023-12-01,8010235,8012993,3,4,668
2023-12-01,8010242,8010007,17,27,113
2023-12-01,8010242,8010020,10,10,327
2023-12-01,8010242,8010118,1,1,120
2023-12-01,8010242,8010126,7,7,2280
2023-12-01,8010242,8010242,159,200,290
2023-12-01,8010242,8011502,47,57,204
2023-12-01,8010242,8011678,1,1,30
2023-12-01,8010242,8013074,31,38,78
2023-12-01,8010242,8013192,0,1,0
2023-12-01,8010242,8013226,23,24,211
2023-12-01,8010256,8010032,7,7,420
2023-12-01,8010256,8010256,29,35,345
2023-12-01,8010256,8010385,16,23,247
2023-12-01,8010256,8011860,7,13,420
2023-12-01,8010256,8012516,4,17,14
2023-12-01,8010256,8013291,11,20,94
2023-12-01,8010260,8010260,0,32,0
2023-12-01,8010260,8012222,0,28,0
2023-12-01,8010260,8012330,0,16,0
2023-12-01,8010260,8013000,0,16,0
2023-12-01,8010264,8010264,48,58,157
2023-12-01,8010264,8011567,9,9,117
2023-12-01,8010264,8011985,21,29,122
2023-12-01,8010264,8013398,18,22,188
2023-12-01,8010274,8010007,8,8,540
2023-12-01,8010274,8010137,7,18,35
2023-12-01,8010274,8010274,64,89,155
2023-12-01,8010274,8010391,6,6,435
2023-12-01,8010274,8011055,29,37,129
2023-12-01,8010274,8011624,1,1,90
2023-12-01,8010274,8012317,8,19,60
2023-12-01,8010288,8005692,13,17,226
2023-12-01,8010288,8010288,26,32,532
2023-12-01,8010288,8012000,8,8,382
2023-12-01,8010288,8013171,8,9,1117
2023-12-01,8010301,8010126,15,19,133
2023-12-01,8010301,8010301,32,36,429
2023-12-01,8010301,8012509,8,9,423
2023-12-01,8010301,8012889,8,8,1091
2023-12-01,8010305,8010014,13,19,66
2023-12-01,8010305,8010305,27,37,69
2023-12-01,8010305,8011121,0,16,0
2023-12-01,8010305,8012615,8,10,105
2023-12-01,8010305,8012998,4,8,30
2023-12-01,8010307,8010307,53,74,294
2023-12-01,8010307,8011267,8,9,300
2023-12-01,8010307,8011985,12,15,790
2023-12-01,8010307,8013164,16,22,132
2023-12-01,8010315,8010315,30,34,129
2023-12-01,8010315,8011057,16,18,98
2023-12-01,8010315,8012881,14,17,139
2023-12-01,8010328,8010328,32,38,380
2023-12-01,8010328,8011759,19,26,360
2023-12-01,8010328,8012007,5,11,79
2023-12-01,8010328,8012207,17,18,408
2023-12-01,8010329,8010329,14,26,115
2023-12-01,8010329,8010385,4,8,139
2023-12-01,8010329,8011643,2,8,98
2023-12-01,8010329,8011700,3,6,215
2023-12-01,8010329,8011891,3,7,120
2023-12-01,8010342,8010342,19,26,210
2023-12-01,8010342,8011594,5,6,240
2023-12-01,8010342,8011700,5,7,283
2023-12-01,8010342,8012769,10,17,162
2023-12-01,8010345,8010142,12,12,415
2023-12-01,8010345,8010345,43,48,285
2023-12-01,8010345,8010391,23,28,273
2023-12-01,8010345,8011378,1,1,180
2023-12-01,8010345,8013077,8,11,172
2023-12-01,8010350,8010350,14,31,110
2023-12-01,8010350,8012756,5,15,22
2023-12-01,8010350,8013179,7,16,176
2023-12-01,8010352,8010352,26,37,135
2023-12-01,8010352,8012472,13,18,192
2023-12-01,8010352,8012493,12,19,120
2023-12-01,8010354,8010354,12,21,179
2023-12-01,8010354,8013360,7,10,147
2023-12-01,8010354,8013452,5,11,213
2023-12-01,8010365,8010126,1,1,780
2023-12-01,8010365,8010365,49,57,216
2023-12-01,8010365,8011623,16,17,233
2023-12-01,8010365,8012493,13,18,210
2023-12-01,8010365,8013251,9,11,202
2023-12-01,8010365,8013334,3,10,72
2023-12-01,8010375,8010375,27,37,139
2023-12-01,8010375,8011265,14,18,178
2023-12-01,8010375,8012498,12,17,116
2023-12-01,8010375,8012929,15,19,131
2023-12-01,8010385,8010055,13,15,346
2023-12-01,8010385,8010256,18,24,499
2023-12-01,8010385,8010329,2,7,9
2023-12-01,8010385,8010385,60,86,293
2023-12-01,8010385,8012033,4,10,24
2023-12-01,8010385,8012512,11,11,175
2023-12-01,8010385,8013291,12,19,314
2023-12-01,8010387,8010387,9,21,96
2023-12-01,8010387,8011144,9,10,222
2023-12-01,8010387,8011623,7,11,44
2023-12-01,8010391,8010137,8,9,167
2023-12-01,8010391,8010274,6,6,750
2023-12-01,8010391,8010345,25,28,252
2023-12-01,8010391,8010391,47,55,249
2023-12-01,8010391,8011603,6,10,117
2023-12-01,8010391,8013383,2,18,18
2023-12-01,8011028,8011028,28,35,135
2023-12-01,8011028,8012881,16,18,123
2023-12-01,8011028,8013037,15,17,150
2023-12-01,8011029,8010235,4,8,191
2023-12-01,8011029,8011029,10,16,248
