date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8000123,8000989,7,16,21
2023-10-01,8000134,8000134,51,62,144
2023-10-01,8000134,8003402,13,18,98
2023-10-01,8000134,8003403,2,2,120
2023-10-01,8000134,8004784,24,32,102
2023-10-01,8000134,8005476,32,33,258
2023-10-01,8000134,8005905,26,52,78
2023-10-01,8000370,8000370,52,66,104
2023-10-01,8000370,8001688,15,16,161
2023-10-01,8000370,8003407,14,16,98
2023-10-01,8000370,8004784,22,34,73
2023-10-01,8000379,8000379,82,99,154
2023-10-01,8000379,8001267,31,32,288
2023-10-01,8000379,8003352,1,1,30
2023-10-01,8000379,8005260,12,18,82
2023-10-01,8000379,8005476,28,32,114
2023-10-01,8000379,8005945,11,16,94
2023-10-01,8000402,8000402,46,67,113
2023-10-01,8000402,8003402,7,17,127
2023-10-01,8000402,8003403,13,16,54
2023-10-01,8000402,8005905,24,34,142
2023-10-01,8000674,8000674,25,32,61
2023-10-01,8000674,8001388,13,16,73
2023-10-01,8000674,8005624,13,16,75
2023-10-01,8000870,8000870,24,34,131
2023-10-01,8000870,8001267,10,16,174
2023-10-01,8000870,8005945,14,18,98
2023-10-01,8000989,8000123,14,16,54
2023-10-01,8000989,8000989,27,32,47
2023-10-01,8000989,8004174,12,16,32
2023-10-01,8001388,8000674,13,16,77
2023-10-01,8001388,8001388,24,32,71
2023-10-01,8001388,8003407,9,16,39
2023-10-01,8001414,8001414,25,32,55
2023-10-01,8001414,8004174,15,16,79
2023-10-01,8001414,8005342,9,16,32
2023-10-01,8001688,8000370,13,18,93
2023-10-01,8001688,8001688,29,34,135
2023-10-01,8001688,8004910,16,16,201
2023-10-01,8001828,8001828,23,32,54
2023-10-01,8001828,8003021,12,16,41
2023-10-01,8001828,8003484,10,16,54
2023-10-01,8002018,8002018,26,34,124
2023-10-01,8002018,8002817,14,16,150
2023-10-01,8002018,8005476,10,18,75
2023-10-01,8002817,8002018,13,18,95
2023-10-01,8002817,8002817,27,34,120
2023-10-01,8002817,8005510,14,16,156
2023-10-01,8003021,8001828,7,16,26
2023-10-01,8003021,8003021,17,32,39
2023-10-01,8003021,8004814,11,16,24
2023-10-01,8003042,8003042,27,37,87
2023-10-01,8003042,8003434,13,18,40
2023-10-01,8003042,8200340,19,19,191
2023-10-01,8003173,8003173,22,35,159
2023-10-01,8003173,8003402,9,18,142
2023-10-01,8003173,8006461,13,17,176
2023-10-01,8003402,8000134,16,17,150
2023-10-01,8003402,8000402,14,18,160
2023-10-01,8003402,8003173,14,17,168
2023-10-01,8003402,8003402,58,70,142
2023-10-01,8003402,8005245,12,18,97
2023-10-01,8003403,8000134,2,2,405
2023-10-01,8003403,8000402,15,16,137
2023-10-01,8003403,8003403,33,36,108
2023-10-01,8003403,8004236,1,1,180
2023-10-01,8003403,8004771,1,1,30
2023-10-01,8003403,8006222,15,16,60
2023-10-01,8003407,8000370,8,16,39
2023-10-01,8003407,8001388,14,16,124
2023-10-01,8003407,8003407,23,32,91
2023-10-01,8003434,8003042,17,19,144
2023-10-01,8003434,8003434,31,37,90
2023-10-01,8003434,8005905,12,18,50
2023-10-01,8003484,8001828,14,16,64
2023-10-01,8003484,8003484,28,32,67
2023-10-01,8003484,8005658,14,16,75
2023-10-01,8004174,8000989,15,16,69
2023-10-01,8004174,8001414,11,16,43
2023-10-01,8004174,8004174,27,32,64
2023-10-01,8004438,8004438,22,32,84
2023-10-01,8004438,8006315,15,16,118
2023-10-01,8004438,8006463,12,16,66
2023-10-01,8004514,8004514,28,32,87
2023-10-01,8004514,8005835,12,16,52
2023-10-01,8004514,8006222,15,16,124
2023-10-01,8004748,8004236,12,15,68
2023-10-01,8004748,8004748,19,29,48
2023-10-01,8004748,8006252,9,14,54
2023-10-01,8004784,8000134,26,34,84
2023-10-01,8004784,8000370,29,32,147
2023-10-01,8004784,8004784,53,66,105
2023-10-01,8004814,8003021,12,16,75
2023-10-01,8004814,8004814,22,32,43
2023-10-01,8004814,8005624,11,16,28
2023-10-01,8004910,8001688,12,18,97
2023-10-01,8004910,8004910,28,34,135
2023-10-01,8004910,8005476,15,16,172
2023-10-01,8005245,8003402,16,17,120
2023-10-01,8005245,8004004,16,18,122
2023-10-01,8005245,8005245,47,70,133
2023-10-01,8005245,8005392,11,18,143
