date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8000014,8000014,42,74,90
2023-05-01,8000014,8000559,7,20,18
2023-05-01,8000014,8000746,14,20,135
2023-05-01,8000014,8000763,13,21,19
2023-05-01,8000014,8000943,6,17,79
2023-05-01,8000014,8004049,16,16,47
2023-05-01,8000014,8004965,21,37,50
2023-05-01,8000069,8000069,29,35,136
2023-05-01,8000069,8000473,7,8,165
2023-05-01,8000069,8000933,5,6,185
2023-05-01,8000069,8002656,2,3,120
2023-05-01,8000069,8003969,16,20,124
2023-05-01,8000069,8005568,4,15,36
2023-05-01,8000069,8005747,0,2,0
2023-05-01,8000112,8000112,40,70,55
2023-05-01,8000112,8001838,0,2,0
2023-05-01,8000112,8002030,4,15,20
2023-05-01,8000112,8002110,12,22,70
2023-05-01,8000112,8002122,5,18,53
2023-05-01,8000112,8003432,7,8,71
2023-05-01,8000112,8003524,5,9,23
2023-05-01,8000112,8003733,7,16,39
2023-05-01,8000112,8003930,9,19,33
2023-05-01,8000112,8004029,5,8,22
2023-05-01,8000112,8004965,13,18,98
2023-05-01,8000112,8100090,1,1,30
2023-05-01,8000141,8000141,48,55,107
2023-05-01,8000141,8000314,15,20,453
2023-05-01,8000141,8003248,21,30,97
2023-05-01,8000141,8004070,8,9,133
2023-05-01,8000141,8005916,14,31,67
2023-05-01,8000141,8005918,19,19,76
2023-05-01,8000160,8000160,46,70,79
2023-05-01,8000160,8002760,6,17,21
2023-05-01,8000160,8003969,23,35,76
2023-05-01,8000160,8005087,14,18,132
2023-05-01,8000203,8000203,45,54,162
2023-05-01,8000203,8000336,21,26,181
2023-05-01,8000203,8000763,5,6,95
2023-05-01,8000203,8006200,18,20,206
2023-05-01,8000203,8006545,6,11,52
2023-05-01,8000314,8000141,16,21,290
2023-05-01,8000314,8000314,58,79,279
2023-05-01,8000314,8004009,8,8,1271
2023-05-01,8000314,8005052,5,22,100
2023-05-01,8000314,8005054,16,18,55
2023-05-01,8000336,8000203,14,26,192
2023-05-01,8000336,8000336,36,36,250
2023-05-01,8000336,8000454,18,18,183
2023-05-01,8000353,8000353,13,18,95
2023-05-01,8000353,8000473,6,9,97
2023-05-01,8000353,8002673,5,9,53
2023-05-01,8000454,8000336,18,18,330
2023-05-01,8000454,8000454,34,36,235
2023-05-01,8000454,8003897,16,18,193
2023-05-01,8000473,8000069,8,8,161
2023-05-01,8000473,8000353,9,9,143
2023-05-01,8000473,8000473,15,18,142
2023-05-01,8000473,8005747,0,1,-30
2023-05-01,8000473,8005750,0,1,0
2023-05-01,8000499,8000499,6,6,55
2023-05-01,8000499,8001684,3,3,50
2023-05-01,8000499,8005333,2,2,45
2023-05-01,8000499,8005379,1,1,90
2023-05-01,8000559,8000014,9,20,26
2023-05-01,8000559,8000559,17,40,23
2023-05-01,8000559,8005301,11,17,30
2023-05-01,8000559,8070628,2,3,60
2023-05-01,8000562,8000562,15,19,55
2023-05-01,8000562,8000763,6,10,60
2023-05-01,8000562,8006545,9,9,47
2023-05-01,8000731,8000731,16,19,169
2023-05-01,8000731,8000959,5,9,147
2023-05-01,8000731,8005197,10,10,201
2023-05-01,8000746,8000014,19,20,116
2023-05-01,8000746,8000746,36,40,117
2023-05-01,8000746,8000943,15,19,158
2023-05-01,8000746,8000944,0,1,0
2023-05-01,8000763,8000014,16,21,77
2023-05-01,8000763,8000203,6,8,71
2023-05-01,8000763,8000562,9,9,50
2023-05-01,8000763,8000763,26,42,47
2023-05-01,8000763,8000769,0,4,-90
2023-05-01,8000769,8000763,1,4,-38
2023-05-01,8000909,8000909,22,36,87
2023-05-01,8000909,8003871,16,18,152
2023-05-01,8000909,8004029,9,18,42
2023-05-01,8000933,8000069,5,6,115
2023-05-01,8000933,8000933,16,18,147
2023-05-01,8000933,8002096,9,9,220
2023-05-01,8000933,8002656,2,3,40
2023-05-01,8000943,8000014,9,17,28
2023-05-01,8000943,8000746,13,20,70
2023-05-01,8000943,8000943,43,74,84
2023-05-01,8000943,8001820,0,1,0
2023-05-01,8000943,8003592,11,18,152
2023-05-01,8000943,8005334,0,1,0
2023-05-01,8000944,8000943,0,1,0
2023-05-01,8000944,8000944,0,1,0
2023-05-01,8000959,8000731,8,10,171
2023-05-01,8000959,8000959,28,33,175
2023-05-01,8000959,8001946,12,16,161
2023-05-01,8000959,8005197,6,7,201
2023-05-01,8000999,8000353,1,2,15
2023-05-01,8000999,8000999,0,2,0
2023-05-01,8001013,8001013,28,36,129
2023-05-01,8001013,8002242,0,1,0
2023-05-01,8001013,8002789,0,1,0
2023-05-01,8001013,8005333,15,18,113
2023-05-01,8001015,8001015,5,5,48
2023-05-01,8001015,8002789,3,3,60
2023-05-01,8001015,8005955,1,1,30
2023-05-01,8001281,8001281,2,6,40
2023-05-01,8001281,8070628,0,3,0
2023-05-01,8001281,8070630,2,3,100
2023-05-01,8001422,8001422,11,35,29
2023-05-01,8001422,8070678,0,18,0
2023-05-01,8001422,8070679,11,17,60
2023-05-01,8001424,8001424,11,35,29
2023-05-01,8001424,8001426,11,17,60
2023-05-01,8001424,8070679,0,18,0
2023-05-01,8001426,8001424,0,18,0
2023-05-01,8001426,8001426,11,35,29
2023-05-01,8001426,8070680,11,17,60
2023-05-01,8001684,8000499,0,3,0
2023-05-01,8001684,8001684,21,36,118
2023-05-01,8001684,8004182,7,15,100
2023-05-01,8001684,8005195,2,3,30
2023-05-01,8001684,8005333,9,15,164
2023-05-01,8001802,8001802,7,63,26
2023-05-01,8001802,8004778,0,32,0
2023-05-01,8001802,8070591,14,31,62
2023-05-01,8001820,8001820,2,3,60
2023-05-01,8001820,8003592,2,2,45
2023-05-01,8001838,8000112,1,1,270
2023-05-01,8001838,8001838,22,35,58
2023-05-01,8001838,8002030,13,17,60
2023-05-01,8001838,8003524,9,17,51
2023-05-01,8001946,8000959,16,17,185
2023-05-01,8001946,8001946,32,34,178
2023-05-01,8001946,8004104,14,16,146
2023-05-01,8001946,8005197,1,1,480
2023-05-01,8002030,8000112,14,17,74
2023-05-01,8002030,8001838,10,15,38
2023-05-01,8002030,8002030,20,32,47
2023-05-01,8002111,8002111,27,36,102
2023-05-01,8002111,8003345,9,18,57
2023-05-01,8002111,8003850,12,18,133
2023-05-01,8002120,8002120,15,32,39
2023-05-01,8002120,8003220,6,16,34
2023-05-01,8002120,8003733,4,16,26
2023-05-01,8002242,8001013,2,2,75
2023-05-01,8002242,8002242,2,3,50
2023-05-01,8002242,8002789,1,1,30
2023-05-01,8002656,8000069,2,3,40
2023-05-01,8002656,8000933,3,3,160
2023-05-01,8002656,8002656,5,6,90
2023-05-01,8002673,8000353,4,7,99
2023-05-01,8002673,8000999,0,2,0
2023-05-01,8002673,8002673,7,18,58
2023-05-01,8002673,8004070,5,9,37
2023-05-01,8002760,8000160,10,17,37
2023-05-01,8002760,8002760,15,34,28
2023-05-01,8002760,8005301,4,17,19
2023-05-01,8002789,8001013,1,1,120
2023-05-01,8002789,8001015,1,2,15
2023-05-01,8002789,8002242,2,2,75
2023-05-01,8002789,8002789,4,5,48
2023-05-01,8003220,8002120,7,16,39
2023-05-01,8003220,8003220,23,32,57
2023-05-01,8003220,8003930,9,16,73
2023-05-01,8003227,8000539,4,4,195
2023-05-01,8003227,8002378,3,3,160
2023-05-01,8003227,8003227,8,8,139
2023-05-01,8003248,8000141,23,31,161
2023-05-01,8003248,8003248,48,61,141
2023-05-01,8003248,8005197,23,30,126
2023-05-01,8003272,8000141,1,1,60
2023-05-01,8003272,8003272,29,41,89
2023-05-01,8003272,8005918,7,21,96
2023-05-01,8003272,8006203,18,19,85
2023-05-01,8003345,8002111,12,18,123
2023-05-01,8003345,8003345,24,36,92
2023-05-01,8003345,8003871,14,18,67
2023-05-01,8003432,8000112,2,7,9
2023-05-01,8003432,8003432,31,48,50
2023-05-01,8003432,8003524,19,21,83
2023-05-01,8003432,8004446,8,16,22
2023-05-01,8003432,8006218,4,8,49
2023-05-01,8003524,8000112,7,9,57
2023-05-01,8003524,8001838,17,18,148
2023-05-01,8003524,8003432,15,20,74
2023-05-01,8003524,8003524,41,53,97
2023-05-01,8003524,8004446,1,6,5
2023-05-01,8003525,8002272,7,7,64
2023-05-01,8003525,8003525,7,14,24
2023-05-01,8003592,8000943,18,20,90
2023-05-01,8003592,8002218,13,17,162
2023-05-01,8003592,8003592,27,39,116
2023-05-01,8003733,8000112,6,17,34
2023-05-01,8003733,8002120,9,16,56
2023-05-01,8003733,8003733,16,33,39
2023-05-01,8003871,8000112,1,1,30
2023-05-01,8003871,8000909,7,18,40
2023-05-01,8003871,8003345,14,18,142
2023-05-01,8003871,8003871,31,37,103
2023-05-01,8003897,8000454,16,18,258
2023-05-01,8003897,8003897,31,36,226
2023-05-01,8003897,8005823,14,18,195
2023-05-01,8003930,8000112,12,19,41
2023-05-01,8003930,8003220,15,16,81
2023-05-01,8003930,8003733,0,1,0
2023-05-01,8003930,8003930,44,71,62
2023-05-01,8003930,8004605,7,16,68
2023-05-01,8003930,8004965,10,19,77
2023-05-01,8003969,8000069,15,16,221
2023-05-01,8003969,8000160,28,35,122
2023-05-01,8003969,8003969,59,70,145
2023-05-01,8003969,8005568,15,19,221
2023-05-01,8003983,8003983,22,34,81
2023-05-01,8003983,8006331,5,17,42
2023-05-01,8004009,8000314,8,9,507
2023-05-01,8004009,8004009,43,52,332
2023-05-01,8004009,8004488,2,3,30
2023-05-01,8004009,8005054,4,20,24
2023-05-01,8004009,8005769,2,2,2505
2023-05-01,8004009,8070678,15,17,71
2023-05-01,8004029,8000112,7,7,146
2023-05-01,8004029,8000909,16,18,128
2023-05-01,8004029,8003871,0,1,0
2023-05-01,8004029,8004029,42,52,88
2023-05-01,8004029,8004595,16,18,82
2023-05-01,8004029,8005942,6,8,38
2023-05-01,8004049,8000014,7,16,56
2023-05-01,8004049,8004049,23,32,63
2023-05-01,8004049,8004363,13,16,51
2023-05-01,8004070,8000141,6,9,87
2023-05-01,8004070,8002673,3,9,87
2023-05-01,8004070,8004070,9,18,78
2023-05-01,8004182,8001684,10,16,158
2023-05-01,8004182,8004182,19,36,112
2023-05-01,8004182,8004968,3,5,36
2023-05-01,8004182,8005087,6,13,88
2023-05-01,8004182,8005195,2,2,45
2023-05-01,8004363,8004049,11,16,75
2023-05-01,8004363,8004363,24,32,64
2023-05-01,8004363,8087067,7,16,26
2023-05-01,8004595,8004029,15,18,107
2023-05-01,8004595,8004595,25,36,85
2023-05-01,8004595,8005943,15,18,95
2023-05-01,8004605,8003930,6,16,36
2023-05-01,8004605,8004605,21,32,55
2023-05-01,8004605,8006296,9,16,68
2023-05-01,8004778,8001802,18,31,71
2023-05-01,8004778,8004778,18,63,34
2023-05-01,8004778,8006002,0,32,0
2023-05-01,8004965,8000014,23,37,124
2023-05-01,8004965,8000112,6,17,12
2023-05-01,8004965,8003930,14,20,72
2023-05-01,8004965,8004965,65,106,73
2023-05-01,8004965,8006296,12,16,54
2023-05-01,8004965,8087067,11,16,81
2023-05-01,8004968,8004182,3,4,120
2023-05-01,8004968,8004968,6,9,97
2023-05-01,8004968,8005087,4,5,126
2023-05-01,8005052,8000314,12,19,44
2023-05-01,8005052,8005052,26,41,80
2023-05-01,8005052,8005053,14,22,124
2023-05-01,8005053,8005052,9,19,33
2023-05-01,8005053,8005053,23,41,81
2023-05-01,8005053,8006203,8,22,98
2023-05-01,8005054,8000314,19,20,66
2023-05-01,8005054,8004009,12,18,65
2023-05-01,8005054,8005054,30,38,50
2023-05-01,8005087,8000160,8,18,77
2023-05-01,8005087,8004182,10,14,148
2023-05-01,8005087,8004968,4,4,68
2023-05-01,8005087,8005087,21,36,101
2023-05-01,8005195,8001684,2,2,45
2023-05-01,8005195,8004182,3,3,60
2023-05-01,8005195,8005195,5,5,66
2023-05-01,8005197,8000731,6,9,153
2023-05-01,8005197,8000959,7,7,184
2023-05-01,8005197,8003248,22,31,165
2023-05-01,8005197,8004104,0,1,0
2023-05-01,8005197,8005197,33,36,185
2023-05-01,8005301,8000559,6,17,21
2023-05-01,8005301,8002760,9,17,41
2023-05-01,8005301,8005301,16,34,31
2023-05-01,8005333,8000499,1,1,60
2023-05-01,8005333,8001013,12,18,165
2023-05-01,8005333,8001684,11,15,118
2023-05-01,8005333,8005333,25,36,130
2023-05-01,8005333,8005379,2,2,90
2023-05-01,8005334,8003592,0,1,0
2023-05-01,8005334,8005334,0,1,0
2023-05-01,8005379,8000499,2,2,60
2023-05-01,8005379,8005333,1,1,60
2023-05-01,8005379,8005379,3,3,80
2023-05-01,8005568,8000069,17,19,174
2023-05-01,8005568,8003969,6,15,66
2023-05-01,8005568,8005568,19,34,139
2023-05-01,8005747,8000069,1,2,30
2023-05-01,8005747,8005747,0,4,0
2023-05-01,8005747,8005750,0,2,0
2023-05-01,8005750,8000473,0,2,0
2023-05-01,8005750,8005747,0,1,0
2023-05-01,8005750,8005750,0,3,0
2023-05-01,8005823,8000338,7,7,356
2023-05-01,8005823,8003897,17,18,278
2023-05-01,8005823,8005607,1,1,90
2023-05-01,8005823,8005823,31,36,241
2023-05-01,8005916,8000141,17,32,22
2023-05-01,8005916,8005916,23,63,37
2023-05-01,8005916,8006003,21,31,75
2023-05-01,8005918,8000141,12,21,117
2023-05-01,8005918,8003272,17,19,68
2023-05-01,8005918,8005918,30,40,90
2023-05-01,8005955,8001015,2,2,45
2023-05-01,8005955,8005955,2,3,40
2023-05-01,8006002,8004778,12,31,61
2023-05-01,8006002,8006002,12,63,29
2023-05-01,8006002,8006003,0,32,0
2023-05-01,8006003,8005916,0,32,0
2023-05-01,8006003,8006002,3,31,49
2023-05-01,8006003,8006003,13,63,27
2023-05-01,8006027,8006027,10,35,28
2023-05-01,8006027,8006029,7,17,42
2023-05-01,8006027,8070680,0,18,0
2023-05-01,8006029,8006027,0,18,0
2023-05-01,8006200,8000203,19,20,198
2023-05-01,8006200,8000387,18,18,237
2023-05-01,8006200,8006200,36,36,192
2023-05-01,8006203,8003272,14,22,115
2023-05-01,8006203,8005053,13,19,52
2023-05-01,8006203,8006203,32,41,89
2023-05-01,8006296,8004605,11,16,43
2023-05-01,8006296,8004965,7,16,51
2023-05-01,8006296,8006296,20,32,50
2023-05-01,8006545,8000203,4,9,20
2023-05-01,8006545,8000562,6,10,66
2023-05-01,8006545,8000763,0,1,0
2023-05-01,8006545,8006545,15,20,56
2023-05-01,8070591,8001802,0,32,0
2023-05-01,8070591,8070591,14,63,31
2023-05-01,8070591,8070604,12,31,59
2023-05-01,8070628,8000559,0,3,0
2023-05-01,8070628,8001281,2,3,80
2023-05-01,8070628,8070628,2,6,35
2023-05-01,8070630,8001281,0,3,0
2023-05-01,8070678,8001422,10,17,58
2023-05-01,8070678,8004009,15,18,33
2023-05-01,8070678,8070678,14,35,31
2023-05-01,8070679,8001422,0,18,0
2023-05-01,8070679,8001424,11,17,60
2023-05-01,8070679,8070679,11,35,29
2023-05-01,8070680,8001426,0,18,0
2023-05-01,8070680,8006027,11,17,60
2023-05-01,8070680,8070680,11,35,29
2023-05-01,8087067,8004363,8,16,71
2023-05-01,8087067,8004965,9,16,28
2023-05-01,8087067,8087067,21,32,57
2023-05-02,8000014,8000014,49,76,185
2023-05-02,8000014,8000559,8,19,99
2023-05-02,8000014,8000746,16,25,211
2023-05-02,8000014,8000763,10,20,27
2023-05-02,8000014,8000943,9,13,201
2023-05-02,8000014,8004049,18,18,168
2023-05-02,8000014,8004965,24,38,145
2023-05-02,8000069,8000069,24,42,214
2023-05-02,8000069,8000473,6,7,210
2023-05-02,8000069,8000933,4,8,240
2023-05-02,8000069,8002656,2,5,96
2023-05-02,8000069,8003969,13,19,284
2023-05-02,8000069,8005568,6,19,43
2023-05-02,8000069,8005747,2,4,90
2023-05-02,8000112,8000112,73,95,145
2023-05-02,8000112,8001838,3,4,22
2023-05-02,8000112,8002030,11,20,118
2023-05-02,8000112,8002110,24,35,165
2023-05-02,8000112,8002122,9,24,60
2023-05-02,8000112,8003432,6,7,321
2023-05-02,8000112,8003524,8,9,87
2023-05-02,8000112,8003733,14,29,185
2023-05-02,8000112,8003871,3,3,190
2023-05-02,8000112,8003930,14,20,252
2023-05-02,8000112,8004029,5,7,34
2023-05-02,8000112,8004965,13,16,199
2023-05-02,8000112,8100090,1,1,300
2023-05-02,8000141,8000141,76,85,132
2023-05-02,8000141,8000314,22,26,197
2023-05-02,8000141,8003248,27,36,118
2023-05-02,8000141,8004070,8,9,320
2023-05-02,8000141,8004778,0,1,-60
2023-05-02,8000141,8005197,2,3,90
2023-05-02,8000141,8005916,28,41,61
2023-05-02,8000141,8005918,32,35,114
2023-05-02,8000160,8000160,52,75,171
2023-05-02,8000160,8002760,6,19,201
2023-05-02,8000160,8003969,27,37,162
2023-05-02,8000160,8005087,16,19,122
2023-05-02,8000203,8000203,50,58,132
2023-05-02,8000203,8000336,22,28,164
2023-05-02,8000203,8000763,4,6,110
2023-05-02,8000203,8006200,17,22,110
2023-05-02,8000203,8006545,6,13,48
2023-05-02,8000314,8000141,20,26,330
2023-05-02,8000314,8000314,98,120,176
2023-05-02,8000314,8004009,8,10,213
2023-05-02,8000314,8005052,23,36,124
2023-05-02,8000314,8005054,30,34,103
2023-05-02,8000336,8000203,19,28,119
2023-05-02,8000336,8000336,35,38,156
2023-05-02,8000336,8000454,15,19,98
2023-05-02,8000353,8000353,14,18,297
2023-05-02,8000353,8000473,7,9,430
2023-05-02,8000353,8000999,0,1,0
2023-05-02,8000353,8002673,5,8,202
2023-05-02,8000454,8000336,19,19,178
2023-05-02,8000454,8000454,32,38,124
2023-05-02,8000454,8003897,12,19,76
2023-05-02,8000473,8000069,8,8,544
2023-05-02,8000473,8000353,7,9,177
2023-05-02,8000473,8000473,15,18,328
2023-05-02,8000473,8005747,1,1,90
2023-05-02,8000473,8005750,0,2,0
2023-05-02,8000499,8000499,4,8,15
2023-05-02,8000499,8001684,2,4,0
2023-05-02,8000499,8005333,3,3,40
2023-05-02,8000499,8005379,1,1,60
2023-05-02,8000559,8000014,8,19,216
2023-05-02,8000559,8000559,17,38,156
2023-05-02,8000559,8005301,11,19,112
2023-05-02,8000562,8000562,14,23,48
2023-05-02,8000562,8000763,8,12,52
2023-05-02,8000562,8006545,8,11,52
2023-05-02,8000577,8000577,2,2,1035
2023-05-02,8000577,8002218,2,2,1050
2023-05-02,8000731,8000731,20,27,74
2023-05-02,8000731,8000959,6,13,53
2023-05-02,8000731,8005197,13,14,101
2023-05-02,8000746,8000014,23,26,196
2023-05-02,8000746,8000746,39,51,199
2023-05-02,8000746,8000943,12,20,134
2023-05-02,8000746,8000944,3,5,510
2023-05-02,8000763,8000014,13,20,75
2023-05-02,8000763,8000203,8,8,82
2023-05-02,8000763,8000562,10,11,63
2023-05-02,8000763,8000763,25,38,66
2023-05-02,8000858,8000858,1,2,1020
2023-05-02,8000858,8006373,1,2,1035
2023-05-02,8000909,8000909,32,47,75
2023-05-02,8000909,8003871,17,23,128
2023-05-02,8000909,8004029,14,24,65
2023-05-02,8000933,8000069,4,8,22
2023-05-02,8000933,8000933,19,27,127
2023-05-02,8000933,8002096,12,13,224
2023-05-02,8000933,8002656,2,6,75
2023-05-02,8000943,8000014,7,12,110
2023-05-02,8000943,8000746,16,22,183
2023-05-02,8000943,8000943,50,76,177
2023-05-02,8000943,8000944,4,4,82
2023-05-02,8000943,8001820,1,1,30
2023-05-02,8000943,8003592,11,19,248
2023-05-02,8000943,8005334,1,1,180
2023-05-02,8000944,8000746,4,4,98
2023-05-02,8000944,8000943,3,5,522
2023-05-02,8000944,8000944,6,9,323
2023-05-02,8000959,8000731,10,14,69
2023-05-02,8000959,8000959,33,42,98
2023-05-02,8000959,8001946,16,21,81
2023-05-02,8000959,8005197,6,7,176
2023-05-02,8000999,8000353,2,2,1410
2023-05-02,8000999,8000999,2,3,940
2023-05-02,8000999,8002673,0,1,0
2023-05-02,8001013,8001013,24,39,134
2023-05-02,8001013,8002242,1,1,30
2023-05-02,8001013,8002789,1,2,30
2023-05-02,8001013,8005333,12,19,51
2023-05-02,8001015,8001015,5,5,48
2023-05-02,8001015,8002789,1,2,15
2023-05-02,8001015,8005955,0,1,0
2023-05-02,8001422,8001422,14,37,58
2023-05-02,8001422,8070678,1,19,16
2023-05-02,8001422,8070679,13,18,102
2023-05-02,8001424,8001424,14,37,58
2023-05-02,8001424,8001426,13,18,102
2023-05-02,8001424,8070679,1,19,16
2023-05-02,8001426,8001424,1,19,16
2023-05-02,8001426,8001426,14,37,58
2023-05-02,8001426,8070680,13,18,102
2023-05-02,8001684,8000499,0,4,-8
2023-05-02,8001684,8001684,23,37,123
2023-05-02,8001684,8004182,10,15,58
2023-05-02,8001684,8005195,1,3,20
2023-05-02,8001684,8005333,12,16,234
2023-05-02,8001802,8001802,24,80,27
2023-05-02,8001802,8004778,4,42,6
2023-05-02,8001802,8070591,31,40,54
2023-05-02,8001820,8001820,4,4,90
2023-05-02,8001820,8003592,3,3,110
2023-05-02,8001838,8000112,4,4,285
2023-05-02,8001838,8001838,39,45,143
2023-05-02,8001838,8002030,18,20,122
2023-05-02,8001838,8003524,17,22,139
2023-05-02,8001946,8000959,19,21,123
2023-05-02,8001946,8001946,39,44,121
2023-05-02,8001946,8004104,14,21,96
2023-05-02,8001946,8005197,2,2,465
2023-05-02,8002030,8000112,17,20,129
2023-05-02,8002030,8001838,15,20,150
2023-05-02,8002030,8002030,31,40,130
2023-05-02,8002111,8002111,39,46,136
2023-05-02,8002111,8003345,18,24,110
2023-05-02,8002111,8003850,19,22,140
2023-05-02,8002120,8002120,31,54,190
2023-05-02,8002120,8003220,12,27,203
2023-05-02,8002120,8003733,16,27,163
