date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-01-24,8000010,8000010,28,83,167
2023-01-24,8000010,8000183,4,6,895
2023-01-24,8000010,8000250,1,1,360
2023-01-24,8000010,8000618,6,21,10
2023-01-24,8000010,8000619,0,5,0
2023-01-24,8000010,8002696,7,15,48
2023-01-24,8000010,8002918,2,10,21
2023-01-24,8000010,8003143,0,1,0
2023-01-24,8000010,8003314,5,21,40
2023-01-24,8000010,8003334,0,1,0
2023-01-24,8000010,8003680,2,2,270
2023-01-24,8000010,8004560,0,7,0
2023-01-24,8000010,8100014,0,1,0
2023-01-24,8000010,8100024,1,1,3210
2023-01-24,8000032,8000032,52,169,69
2023-01-24,8000032,8001620,5,16,111
2023-01-24,8000032,8002630,7,17,124
2023-01-24,8000032,8004453,7,24,14
2023-01-24,8000032,8004865,6,16,26
2023-01-24,8000032,8005049,2,7,64
2023-01-24,8000032,8005198,0,2,0
2023-01-24,8000032,8005479,23,59,68
2023-01-24,8000032,8006147,7,23,72
2023-01-24,8000120,8000120,21,73,43
2023-01-24,8000120,8003189,3,17,23
2023-01-24,8000120,8003329,2,14,6
2023-01-24,8000120,8003548,9,28,38
2023-01-24,8000120,8005092,7,16,71
2023-01-24,8000120,8006349,6,22,40
2023-01-24,8000479,8000479,14,40,41
2023-01-24,8000479,8001225,6,20,21
2023-01-24,8000479,8003081,8,20,66
2023-01-24,8000575,8000575,7,32,38
2023-01-24,8000575,8005386,5,16,58
2023-01-24,8000575,8006274,2,17,16
2023-01-24,8000618,8000010,6,24,29
2023-01-24,8000618,8000618,15,45,26
2023-01-24,8000618,8000619,9,21,27
2023-01-24,8000619,8000010,1,7,0
2023-01-24,8000619,8000618,4,24,19
2023-01-24,8000619,8000619,13,55,16
2023-01-24,8000619,8003334,2,6,25
2023-01-24,8000619,8004558,6,19,19
2023-01-24,8000640,8000640,8,31,44
2023-01-24,8000640,8001148,5,17,56
2023-01-24,8000640,8002089,3,16,41
2023-01-24,8000640,8003324,4,24,32
2023-01-24,8000640,8003337,3,12,35
2023-01-24,8000714,8000714,9,28,20
2023-01-24,8000714,8001935,0,17,0
2023-01-24,8000714,8004629,3,30,45
2023-01-24,8000730,8000730,12,43,61
2023-01-24,8000730,8001290,2,20,12
2023-01-24,8000730,8003959,8,20,99
2023-01-24,8000730,8004169,1,7,30
2023-01-24,8000818,8000818,6,45,14
2023-01-24,8000818,8002333,4,22,14
2023-01-24,8000818,8003881,4,23,13
2023-01-24,8000902,8000902,16,46,55
2023-01-24,8000902,8001919,9,23,43
2023-01-24,8000902,8005523,8,23,69
2023-01-24,8001148,8000640,6,17,30
2023-01-24,8001148,8001148,10,34,46
2023-01-24,8001148,8006274,6,17,64
2023-01-24,8001225,8000479,5,20,56
2023-01-24,8001225,8001225,14,40,38
2023-01-24,8001225,8001421,8,20,20
2023-01-24,8001290,8000730,5,17,39
2023-01-24,8001290,8001290,7,37,24
2023-01-24,8001290,8004169,2,20,15
2023-01-24,8001293,8001293,11,32,47
2023-01-24,8001293,8004040,6,16,45
2023-01-24,8001293,8005092,4,16,43
2023-01-24,8001421,8001225,8,20,58
2023-01-24,8001421,8001421,15,40,37
2023-01-24,8001421,8005198,8,20,28
2023-01-24,8001435,8001435,1,28,1
2023-01-24,8001435,8002567,2,14,9
2023-01-24,8001435,8004090,1,14,2
2023-01-24,8001503,8001503,8,32,44
2023-01-24,8001503,8005028,3,16,32
2023-01-24,8001503,8005666,4,16,54
2023-01-24,8001619,8001619,19,48,61
2023-01-24,8001619,8004533,9,24,89
2023-01-24,8001619,8006635,9,24,39
2023-01-24,8001620,8000032,8,14,96
2023-01-24,8001620,8001620,36,113,53
2023-01-24,8001620,8004169,2,8,184
2023-01-24,8001620,8004629,6,32,29
2023-01-24,8001620,8004865,14,42,29
2023-01-24,8001620,8005199,4,17,12
2023-01-24,8001742,8001742,8,34,10
2023-01-24,8001742,8001935,2,17,5
2023-01-24,8001742,8006380,2,17,5
2023-01-24,8001848,8001848,19,69,44
2023-01-24,8001848,8002287,7,23,43
2023-01-24,8001848,8003337,6,14,75
2023-01-24,8001848,8004560,3,13,39
2023-01-24,8001848,8006538,6,19,36
2023-01-24,8001919,8000902,7,23,67
2023-01-24,8001919,8001919,17,46,59
2023-01-24,8001919,8006147,8,23,50
2023-01-24,8001935,8000714,4,17,18
2023-01-24,8001935,8001742,3,17,9
2023-01-24,8001935,8001935,4,34,6
2023-01-24,8001964,8001964,6,32,27
2023-01-24,8001964,8002622,4,16,51
2023-01-24,8001964,8005666,3,16,6
2023-01-24,8002089,8000640,4,16,45
2023-01-24,8002089,8002089,6,32,41
2023-01-24,8002089,8005028,3,16,52
2023-01-24,8002251,8002251,14,39,75
2023-01-24,8002251,8003284,8,19,73
2023-01-24,8002251,8005002,6,20,70
2023-01-24,8002287,8001848,4,19,30
2023-01-24,8002287,8002287,10,42,43
2023-01-24,8002287,8004560,6,23,48
2023-01-24,8002333,8000818,2,23,10
2023-01-24,8002333,8002333,7,45,13
2023-01-24,8002333,8006488,4,22,11
2023-01-24,8002341,8002341,6,28,6
2023-01-24,8002341,8004013,1,14,2
2023-01-24,8002341,8006554,2,14,4
2023-01-24,8002567,8001435,2,14,4
2023-01-24,8002567,8002567,4,28,9
2023-01-24,8002567,8002568,2,17,5
2023-01-24,8002568,8002567,2,17,7
2023-01-24,8002568,8002568,4,34,6
2023-01-24,8002568,8006380,1,17,4
2023-01-24,8002622,8001964,2,16,4
2023-01-24,8002622,8002622,5,32,27
2023-01-24,8002622,8006354,4,16,54
2023-01-24,8002630,8000032,5,15,158
2023-01-24,8002630,8002630,27,78,93
2023-01-24,8002630,8002853,3,7,111
2023-01-24,8002630,8005400,8,24,41
2023-01-24,8002630,8006635,9,24,76
2023-01-24,8002696,8000010,4,15,38
2023-01-24,8002696,8002696,17,51,44
2023-01-24,8002696,8003582,5,11,65
2023-01-24,8002696,8006426,8,25,34
2023-01-24,8002845,8002845,16,55,29
2023-01-24,8002845,8003189,12,29,37
2023-01-24,8002845,8005049,4,26,20
2023-01-24,8002918,8000010,3,11,30
2023-01-24,8002918,8002918,9,21,39
2023-01-24,8002918,8003582,4,10,24
2023-01-24,8003081,8000479,8,20,26
