date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8001071,8001071,16,36,52
2023-05-01,8001071,8003632,3,18,5
2023-05-01,8001201,8001201,26,34,127
2023-05-01,8001201,8003288,12,17,150
2023-05-01,8001201,8003956,11,17,108
2023-05-01,8002615,8002615,54,67,228
2023-05-01,8002615,8003640,5,8,64
2023-05-01,8002615,8004208,17,26,66
2023-05-01,8003956,8001201,15,17,159
2023-05-01,8003956,8003956,24,34,128
2023-05-01,8003956,8006367,15,17,141
2023-05-01,8004208,8002615,25,26,208
2023-05-01,8004208,8003640,14,26,62
2023-05-01,8004208,8004208,39,52,132
2023-05-01,8004689,8003491,8,16,96
2023-05-01,8004689,8004689,15,32,124
2023-05-01,8004689,8006503,8,15,124
2023-05-01,8005262,8002915,11,16,246
2023-05-01,8005262,8005262,25,32,229
2023-05-01,8005262,8005436,14,16,112
2023-05-01,8005436,8005262,12,16,356
2023-05-01,8005436,8005436,26,32,227
2023-05-01,8005436,8400483,12,16,75
2023-05-01,8006367,8003956,12,17,134
2023-05-01,8006367,8006367,26,34,129
2023-05-01,8006367,8006503,13,17,139
2023-05-01,8006503,8004689,13,16,120
2023-05-01,8006503,8006367,9,17,115
2023-05-01,8006503,8006503,21,34,134
2023-05-02,8001071,8001071,24,40,74
2023-05-02,8001071,8003632,7,20,34
2023-05-02,8001201,8001201,35,38,158
2023-05-02,8001201,8003288,17,19,147
2023-05-02,8001201,8003956,17,19,171
2023-05-02,8002615,8002615,70,74,356
2023-05-02,8002615,8003640,7,8,169
2023-05-02,8002615,8004208,26,29,110
2023-05-02,8003956,8001201,18,19,161
2023-05-02,8003956,8003956,33,38,159
2023-05-02,8003956,8006367,18,19,207
2023-05-02,8004208,8002615,29,29,409
2023-05-02,8004208,8003640,20,29,108
2023-05-02,8004208,8004208,50,58,252
2023-05-02,8004689,8003491,14,19,147
2023-05-02,8004689,8004689,31,38,146
2023-05-02,8004689,8006503,17,18,137
2023-05-02,8005262,8002915,14,18,85
2023-05-02,8005262,8005262,30,36,120
2023-05-02,8005262,8005436,17,18,163
2023-05-02,8005436,8005262,17,18,85
2023-05-02,8005436,8005436,33,36,103
2023-05-02,8005436,8400483,13,18,122
2023-05-02,8006367,8003956,17,19,137
2023-05-02,8006367,8006367,35,38,158
2023-05-02,8006367,8006503,17,19,188
2023-05-02,8006503,8004689,17,18,173
2023-05-02,8006503,8006367,16,19,112
2023-05-02,8006503,8006503,32,38,165
2023-05-03,8001071,8001071,30,40,109
2023-05-03,8001071,8003632,12,20,110
2023-05-03,8001201,8001201,26,35,88
2023-05-03,8001201,8003288,8,16,49
2023-05-03,8001201,8003956,16,19,122
2023-05-03,8002615,8002615,64,74,254
2023-05-03,8002615,8003640,8,8,296
2023-05-03,8002615,8004208,21,29,76
2023-05-03,8003956,8001201,10,16,64
2023-05-03,8003956,8003956,24,35,93
2023-05-03,8003956,8006367,17,19,148
2023-05-03,8004208,8002615,28,29,380
2023-05-03,8004208,8003640,16,29,62
2023-05-03,8004208,8004208,44,58,218
2023-05-03,8004689,8003491,11,19,77
2023-05-03,8004689,8004689,22,35,71
2023-05-03,8004689,8006503,9,15,50
2023-05-03,8005262,8002915,9,15,44
2023-05-03,8005262,8005262,25,33,93
2023-05-03,8005262,8005436,15,18,130
2023-05-03,8005436,8005262,12,15,62
2023-05-03,8005436,8005436,28,33,91
2023-05-03,8005436,8400483,12,18,83
2023-05-03,8006367,8003956,8,16,54
2023-05-03,8006367,8006367,27,35,102
2023-05-03,8006367,8006503,16,19,137
2023-05-03,8006503,8004689,15,18,113
2023-05-03,8006503,8006367,9,16,58
2023-05-03,8006503,8006503,24,35,103
2023-05-04,8001071,8001071,28,40,194
2023-05-04,8001071,8003632,10,20,141
2023-05-04,8001201,8001201,24,38,95
2023-05-04,8001201,8003288,12,19,93
2023-05-04,8001201,8003956,12,19,99
2023-05-04,8002615,8002615,67,74,412
2023-05-04,8002615,8003640,8,8,386
2023-05-04,8002615,8004208,24,29,119
2023-05-04,8003956,8001201,12,19,112
2023-05-04,8003956,8003956,29,38,108
2023-05-04,8003956,8006367,17,19,159
2023-05-04,8004208,8002615,28,29,533
2023-05-04,8004208,8003640,21,29,108
2023-05-04,8004208,8004208,49,58,318
2023-05-04,8004689,8003491,16,19,125
2023-05-04,8004689,8004689,27,38,82
2023-05-04,8004689,8006503,11,18,43
2023-05-04,8005262,8002915,13,18,52
2023-05-04,8005262,8005262,27,36,99
2023-05-04,8005262,8005436,14,18,142
2023-05-04,8005436,8005262,14,18,68
2023-05-04,8005436,8005436,27,36,86
2023-05-04,8005436,8400483,12,18,85
2023-05-04,8006367,8003956,12,19,58
2023-05-04,8006367,8006367,30,38,100
2023-05-04,8006367,8006503,16,19,141
2023-05-04,8006503,8004689,17,18,132
2023-05-04,8006503,8006367,12,19,54
2023-05-04,8006503,8006503,27,38,94
2023-05-05,8001071,8001071,28,40,95
2023-05-05,8001071,8003632,11,20,63
2023-05-05,8001201,8001201,26,36,139
2023-05-05,8001201,8003288,9,16,174
2023-05-05,8001201,8003956,15,20,116
2023-05-05,8002615,8002615,62,77,455
2023-05-05,8002615,8003640,7,8,202
2023-05-05,8002615,8004208,23,30,103
2023-05-05,8003956,8001201,11,16,182
2023-05-05,8003956,8003956,28,36,147
2023-05-05,8003956,8006367,17,20,159
2023-05-05,8004208,8002615,26,30,576
2023-05-05,8004208,8003640,17,30,92
2023-05-05,8004208,8004208,43,60,330
2023-05-05,8004689,8003491,13,20,116
2023-05-05,8004689,8004689,21,36,130
2023-05-05,8004689,8006503,10,15,156
2023-05-05,8005262,8002915,11,15,144
2023-05-05,8005262,8005262,26,34,166
2023-05-05,8005262,8005436,16,19,213
2023-05-05,8005436,8005262,13,15,142
2023-05-05,8005436,8005436,29,34,169
2023-05-05,8005436,8400483,11,18,153
2023-05-05,8006367,8003956,11,16,167
2023-05-05,8006367,8006367,28,36,162
